rec,size_cat,region,qual_ed,institutionCode,typeStatus,acceptedScientificName_ed,taxonConceptID,NAME,individualCount,INCL,individualCount_ed,taxonRank_ed,TR_w_TCID,datasetName,basisOfRecord,eventDate,year,Longitude,Latitude,depth,SITE,kingdom,phylum,class,order,family,genus,species,taxonRank,associatedReferences
4617,megafauna,CENTRAL,,,,Abyssopathes anomala,,Abyssopathes anomala,1,no- duplicate,1,species,species,NOAA Deep Sea Corals Research and Technology Program,PRESERVED_SPECIMEN,1980-04-08T00:00:00,1980,-129.9,13.22,4770,site -129.9_13.22_4770,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,Abyssopathes anomala,SPECIES,
138283,megafauna,EAST,,SMF,,Abyssopathes lyra,,Abyssopathes lyra,NA,,NA,species,species,Collection Cnidaria SMF,PRESERVED_SPECIMEN,,NA,-116.8333,11.73333,NA,site -116.8333_11.73333_NA,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,Abyssopathes lyra,SPECIES,
65458,megafauna,CENTRAL,,USNM,,Abyssopathes lyriformis,,Abyssopathes lyriformis,1,,1,species,species,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,1980-02-11T00:00:00,1980,-129.883,13.2167,4892,site -129.883_13.2167_4892,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,Abyssopathes lyriformis,SPECIES,
96243,megafauna,CENTRAL,,,,Abyssopathes lyriformis,,Abyssopathes lyriformis,1,no- duplicate,1,species,species,NOAA Deep Sea Corals Research and Technology Program,PRESERVED_SPECIMEN,1980-02-11T00:00:00,1980,-129.883,13.2167,4892,site -129.883_13.2167_4892,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,Abyssopathes lyriformis,SPECIES,
96214,megafauna,EAST,,,,Abyssoprimnoa gemina,,Abyssoprimnoa gemina,1,no- duplicate,1,species,species,NOAA Deep Sea Corals Research and Technology Program,PRESERVED_SPECIMEN,2013-04-16T00:00:00,2013,-117.048,11.8878,4134,site -117.048_11.8878_4134,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Abyssoprimnoa,Abyssoprimnoa gemina,SPECIES,
96183,megafauna,EAST,,,,Abyssoprimnoa gemina,,Abyssoprimnoa gemina,1,no- duplicate,1,species,species,NOAA Deep Sea Corals Research and Technology Program,PRESERVED_SPECIMEN,2013-04-29T00:00:00,2013,-116.838,11.7363,4158,site -116.838_11.7363_4158,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Abyssoprimnoa,Abyssoprimnoa gemina,SPECIES,
4317,megafauna,EAST,,,,Abyssoprimnoa gemina,,Abyssoprimnoa gemina,1,no- duplicate,1,species,species,NOAA Deep Sea Corals Research and Technology Program,PRESERVED_SPECIMEN,2013-04-28T00:00:00,2013,-116.813,11.783,4168,site -116.813_11.783_4168,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Abyssoprimnoa,Abyssoprimnoa gemina,SPECIES,
4555,megafauna,EAST,,,,Abyssoprimnoa gemina,,Abyssoprimnoa gemina,1,no- duplicate,1,species,species,NOAA Deep Sea Corals Research and Technology Program,PRESERVED_SPECIMEN,2013-10-18T00:00:00,2013,-116.46,13.7617,4111,site -116.46_13.7617_4111,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Abyssoprimnoa,Abyssoprimnoa gemina,SPECIES,
28395,megafauna,CENTRAL,,USNM,,Acropora humilis,,Acropora humilis,1,,1,species,species,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,1899-09-02T00:00:00,1899,-136.233,16.6333,5647,site -136.233_16.6333_5647,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora humilis,SPECIES,
34694,megafauna,CENTRAL,,Ifremer,,Alternatipathes alternata,,Alternatipathes alternata,NA,,1,species,species,Ifremer BIOCEAN database (Deep Sea Benthic Fauna),PRESERVED_SPECIMEN,2004-05-27T00:00:00,2004,-130.1369,14.03399,4973,site -130.1369_14.03399_4973,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Alternatipathes,Alternatipathes alternata,SPECIES,
