rec,size_cat,REGION,qualif_ed,occurrenceID,basisOfRecord,INCL,ScientificName_accepted,taxonConceptID,NAME,individualCount,TR_w_TCID,taxonRank_ed,phylum,class,order,family,genus,Latitude,Longitude,depth,date_year,SITE,datasetName,associatedReferences
96009,megafauna,EAST,cf.,1229930970,HumanObservation,NO- DUPLICATE,Silax daleus,Amphioplus cf. daleus,,1,temporary name,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus,13.86335,-116.5466,NA,2013,site 13.86335_-116.5466_NA,ABYSSLINE,NA
125950,megafauna,EAST,cf.,1229930971,HumanObservation,NO- DUPLICATE,Silax daleus,Amphioplus cf. daleus,,1,temporary name,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus,13.79335,-116.7031,NA,2013,site 13.79335_-116.7031_NA,ABYSSLINE,NA
118045,megafauna,EAST,incertae sedis,1229930972,HumanObservation,NO- DUPLICATE,Ophiuroidea,Ophiuroidea incertae sedis sp. (NHM_072),,1,temporary name,class,Echinodermata,Ophiuroidea,NA,NA,NA,13.84988,-116.6449,NA,2013,site 13.84988_-116.6449_NA,ABYSSLINE,NA
64008,megafauna,EAST,cf.,1229930973,HumanObservation,NO- DUPLICATE,Ophiosphalma glabrum,Ophiomusium cf. glabrum,,1,temporary name,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,13.76085,-116.4653,NA,2013,site 13.76085_-116.4653_NA,ABYSSLINE,NA
3750,megafauna,EAST,incertae sedis,1229930974,HumanObservation,NO- DUPLICATE,Ophiuroidea,Ophiuroidea incertae sedis sp. (NHM_041),,1,temporary name,class,Echinodermata,Ophiuroidea,NA,NA,NA,13.8372,-116.5584,NA,2013,site 13.8372_-116.5584_NA,ABYSSLINE,NA
43714,megafauna,EAST,cf.,1229930975,HumanObservation,NO- DUPLICATE,Freyastera benthophila,Freyastera cf. benthophila,,3,temporary name,species,Echinodermata,Asteroidea,Brisingida,Freyellidae,Freyastera,13.86223,-116.5462,NA,2013,site 13.86223_-116.5462_NA,ABYSSLINE,NA
23939,megafauna,EAST,cf.,1229930976,HumanObservation,NO- DUPLICATE,Porcellanaster ceruleus,Porcellanaster cf. ceruleus,,1,temporary name,species,Echinodermata,Asteroidea,Paxillosida,Porcellanasteridae,Porcellanaster,13.75583,-116.4867,NA,2013,site 13.75583_-116.4867_NA,ABYSSLINE,NA
61030,megafauna,EAST,incertae sedis,1229930977,HumanObservation,NO- DUPLICATE,Ophiuroidea,Ophiuroidea incertae sedis sp. (NHM_303),,1,temporary name,class,Echinodermata,Ophiuroidea,NA,NA,NA,13.93307,-116.7163,NA,2013,site 13.93307_-116.7163_NA,ABYSSLINE,NA
89016,megafauna,EAST,cf.,1229930978,HumanObservation,NO- DUPLICATE,Ophiosphalma glabrum,Ophiomusium cf. glabrum,,1,temporary name,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,13.86367,-116.5443,NA,2013,site 13.86367_-116.5443_NA,ABYSSLINE,NA
108213,megafauna,EAST,cf.,1229930979,HumanObservation,NO- DUPLICATE,Porcellanaster ceruleus,Porcellanaster cf. ceruleus,,1,temporary name,species,Echinodermata,Asteroidea,Paxillosida,Porcellanasteridae,Porcellanaster,13.96323,-116.5682,NA,2013,site 13.96323_-116.5682_NA,ABYSSLINE,NA
29726,megafauna,EAST,cf.,1229930981,HumanObservation,NO- DUPLICATE,Ophiosphalma glabrum,Ophiomusium cf. glabrum,,1,temporary name,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,13.75833,-116.6985,NA,2013,site 13.75833_-116.6985_NA,ABYSSLINE,NA
58669,megafauna,EAST,cf.,1229930982,HumanObservation,NO- DUPLICATE,Psychropotes semperiana,Psychropotes cf. semperiana,,1,temporary name,species,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Psychropotes,13.96279,-116.5509,NA,2013,site 13.96279_-116.5509_NA,ABYSSLINE,NA
92812,megafauna,EAST,cf.,1229930983,HumanObservation,NO- DUPLICATE,Ophiosphalma glabrum,Ophiomusium cf. glabrum,,1,temporary name,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,13.86367,-116.5443,NA,2013,site 13.86367_-116.5443_NA,ABYSSLINE,NA
75690,megafauna,EAST,incertae sedis,1229930984,HumanObservation,NO- DUPLICATE,Ophiuroidea,Ophiuroidea incertae sedis sp. (NHM_303),,1,temporary name,class,Echinodermata,Ophiuroidea,NA,NA,NA,13.7621,-116.4638,NA,2013,site 13.7621_-116.4638_NA,ABYSSLINE,NA
98164,megafauna,EAST,cf.,1229930985,HumanObservation,NO- DUPLICATE,Ophiosphalma glabrum,Ophiomusium cf. glabrum,,1,temporary name,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,13.75583,-116.4867,NA,2013,site 13.75583_-116.4867_NA,ABYSSLINE,NA
