"","Species","Individuals"
"N1",1.00000000000067,1
"N21",12.9640615298398,21
"N41",22.3577050540694,41
"N61",30.9162638620361,61
"N81",38.8900359800752,81
"N101",46.4222202852921,101
"N121",53.6097211775502,121
"N141",60.5203451515971,141
"N161",67.202607172767,161
"N181",73.6920008343216,181
"N201",80.0150915527833,201
"N221",86.1922220195625,221
"N241",92.2393224655765,241
"N261",98.1691375396831,261
"N281",103.992069025689,281
"N301",109.716762847659,301
"N321",115.350523978329,321
"N341",120.899614154394,341
"N361",126.369468860798,361
"N381",131.76485799315,381
"N401",137.090006764058,401
"N421",142.348688146832,421
"N441",147.544294681963,441
"N461",152.679895135733,461
"N481",157.758279853942,481
"N501",162.781997571617,501
"N521",167.753385703774,521
"N541",172.674595538217,541
"N561",177.547613433942,561
"N581",182.374278816359,581
"N601",187.156299625434,601
"N621",191.895265618412,621
"N641",196.592659973724,641
"N661",201.249869392967,661
"N681",205.868193019277,681
"N701",210.448850311739,701
"N721",214.992987998388,721
"N741",219.501686302342,741
"N761",223.97596447707,761
"N781",228.416785784151,781
"N801",232.82506193103,801
"N821",237.201657119502,821
"N841",241.547391639694,841
"N861",245.863045168494,861
"N881",250.149359714489,881
"N901",254.407042338371,901
"N921",258.636767586964,921
"N941",262.839179720868,941
"N961",267.014894767617,961
"N981",271.164502364365,981
"N1001",275.28856747627,1001
"N1021",279.387631938409,1021
"N1041",283.462215912734,1041
"N1061",287.512819166868,1061
"N1081",291.539922333157,1081
"N1101",295.543987993358,1101
"N1121",299.525461715768,1121
"N1141",303.484773011565,1141
"N1161",307.422336199091,1161
"N1181",311.338551267625,1181
"N1201",315.233804578561,1201
"N1221",319.108469613073,1221
"N1241",322.96290760819,1241
"N1261",326.797468144023,1261
"N1281",330.612489771531,1281
"N1301",334.408300496396,1301
"N1321",338.185218275283,1321
"N1341",341.943551522698,1341
"N1361",345.68359949533,1361
"N1381",349.405652733292,1381
"N1401",353.109993420336,1401
"N1421",356.796895769464,1421
"N1441",360.466626347403,1441
"N1461",364.119444392416,1461
"N1481",367.755602111595,1481
"N1501",371.375344975071,1501
"N1521",374.978911993222,1521
"N1541",378.566535940415,1541
"N1561",382.138443615327,1561
"N1581",385.694856085169,1581
"N1601",389.235988842274,1601
"N1621",392.762052079107,1621
"N1641",396.273250850678,1641
"N1661",399.769785249333,1661
"N1681",403.251850587076,1681
"N1701",406.719637573791,1701
"N1721",410.173332471363,1721
"N1741",413.61311722989,1741
"N1761",417.039169664647,1761
"N1781",420.451663553711,1781
"N1801",423.850768819554,1801
"N1821",427.236651603303,1821
"N1841",430.609474408568,1841
"N1861",433.969396226888,1861
"N1881",437.316572649958,1881
"N1901",440.65115593227,1901
"N1921",443.973295157831,1921
"N1941",447.283136282049,1941
"N1961",450.580822267567,1961
"N1981",453.866493124545,1981
"N2001",457.140286059419,2001
"N2021",460.402335498454,2021
"N2041",463.652773202049,2041
"N2061",466.891728336771,2061
"N2081",470.119327551804,2081
"N2101",473.335695013042,2101
"N2121",476.540952531624,2121
"N2141",479.73521959127,2141
"N2161",482.918613405612,2161
"N2181",486.091249010137,2181
"N2201",489.253239278804,2201
"N2221",492.404695059764,2221
"N2241",495.545725111629,2241
"N2261",498.676436258385,2261
"N2281",501.796933403479,2281
"N2301",504.907319561363,2301
"N2321",508.007695947637,2321
"N2341",511.098161981972,2341
"N2361",514.178815349196,2361
"N2381",517.249752041969,2381
"N2401",520.311066464449,2401
"N2421",523.362851328389,2421
"N2441",526.405197803953,2441
"N2461",529.438195564291,2461
"N2481",532.461932761949,2481
"N2501",535.476496112458,2501
"N2521",538.481970867138,2521
"N2541",541.478440938411,2541
"N2561",544.465988834142,2561
"N2581",547.444695768892,2581
"N2601",550.414641645859,2601
"N2621",553.375905115079,2621
"N2641",556.3285635839,2641
"N2661",559.272693236158,2661
"N2681",562.208369101389,2681
"N2701",565.135665017825,2701
"N2721",568.054653726616,2721
"N2741",570.965406837591,2741
"N2761",573.867994899966,2761
"N2781",576.762487393443,2781
"N2801",579.648952741603,2801
"N2821",582.527458392848,2821
"N2841",585.398070790837,2841
"N2861",588.260855375726,2861
"N2881",591.115876684002,2881
"N2901",593.963198293351,2901
"N2921",596.802882878303,2921
"N2941",599.634992201888,2941
"N2961",602.459587198167,2961
"N2981",605.276727867479,2981
"N3001",608.086473455824,3001
"N3021",610.888882313338,3021
