"","size_based.Assemblage","size_based.m","size_based.Method","size_based.Order.q","size_based.qD","size_based.qD.LCL","size_based.qD.UCL","size_based.SC","size_based.SC.LCL","size_based.SC.UCL","coverage_based.Assemblage","coverage_based.SC","coverage_based.m","coverage_based.Method","coverage_based.Order.q","coverage_based.qD","coverage_based.qD.LCL","coverage_based.qD.UCL"
"1","CCZ",1,"Rarefaction",0,0.999999999999999,0.999999999999999,1,0.115732022332639,0.11522569535481,0.116238349310468,"CCZ",0.115732337189409,1,"Rarefaction",0,1.00000283080476,0.999658592290239,1.00034706931928
"2","CCZ",5819,"Rarefaction",0,949.484473215232,939.779309942048,959.189636488417,0.893778617975293,0.893686814022995,0.89387042192759,"CCZ",0.893778618188426,5819,"Rarefaction",0,949.484476120792,937.858099204352,961.110853037232
"3","CCZ",11638,"Rarefaction",0,1466.64977812186,1458.62726225689,1474.67229398682,0.924096572395313,0.923579318287738,0.924613826502888,"CCZ",0.924096572709591,11638,"Rarefaction",0,1466.64978528306,1466.38405690962,1466.9155136565
"4","CCZ",17457,"Rarefaction",0,1860.22053405083,1855.4546396109,1864.98642849077,0.939296764369188,0.938749537662319,0.939843991076057,"CCZ",0.939296764588436,17457,"Rarefaction",0,1860.22054059464,1851.62470769394,1868.81637349535
"5","CCZ",23276,"Rarefaction",0,2183.61424877968,2181.57616860849,2185.65232895087,0.94893531947285,0.948562502489358,0.949308136456342,"CCZ",0.948935319654914,23276,"Rarefaction",0,2183.61425552932,2172.22882892533,2194.9996821333
"6","CCZ",29095,"Rarefaction",0,2459.86511472128,2459.34111265785,2460.38911678471,0.955773030856523,0.955627563944168,0.955918497768878,"CCZ",0.955773031030102,29095,"Rarefaction",0,2459.86512211156,2450.37886193702,2469.3513822861
"7","CCZ",34914,"Rarefaction",0,2701.50047907327,2701.17130847712,2701.82964966942,0.960960911965561,0.960885926080427,0.961035897850694,"CCZ",0.960960912059844,34914,"Rarefaction",0,2701.50048374526,2697.30581175399,2705.69515573652
"8","CCZ",40732,"Rarefaction",0,2916.24406600574,2914.90109496762,2917.58703704385,0.965072066052639,0.964803614738471,0.965340517366807,"CCZ",0.965072066192248,40732,"Rarefaction",0,2916.24407361308,2912.84912868556,2919.6390185406
"9","CCZ",46551,"Rarefaction",0,3109.40926296068,3106.01616113281,3112.80236478856,0.968431143062389,0.96799995885449,0.968862327270288,"CCZ",0.968431142909807,46551,"Rarefaction",0,3109.40925372647,3096.93081812085,3121.88768933208
"10","CCZ",52370,"Rarefaction",0,3284.71402220815,3278.40795389756,3291.02009051874,0.971237201246926,0.970671509427402,0.971802893066449,"CCZ",0.971237201380705,52370,"Rarefaction",0,3284.71403074675,3262.22971449438,3307.19834699912
"11","CCZ",58189,"Rarefaction",0,3444.9663973796,3435.03540685218,3454.89738790702,0.973622790559571,0.972946042080001,0.97429953903914,"CCZ",0.973622790488543,58189,"Rarefaction",0,3444.96639249993,3411.9434786069,3477.98930639297
"12","CCZ",64008,"Rarefaction",0,3592.32826179471,3578.18160612968,3606.47491745975,0.97568067864643,0.974911089279015,0.976450268013844,"CCZ",0.975680678608278,64008,"Rarefaction",0,3592.32825894246,3548.48444686769,3636.17207101724
"13","CCZ",69827,"Rarefaction",0,3728.4998654167,3709.6382107197,3747.3615201137,0.977478558619278,0.976629415164743,0.978327702073813,"CCZ",0.977478558708578,69827,"Rarefaction",0,3728.49987245479,3673.6941743454,3783.30557056418
"14","CCZ",75645,"Rarefaction",0,3854.81809640866,3830.80745940714,3878.82873341017,0.97906724463202,0.97814752985593,0.97998695940811,"CCZ",0.979067244625346,75645,"Rarefaction",0,3854.81809591688,3788.96639637812,3920.66979545564
"15","CCZ",81464,"Rarefaction",0,3972.42219531768,3942.86815172828,4001.97623890707,0.980486881816378,0.979501933157078,0.981471830475677,"CCZ",0.980486881881089,81464,"Rarefaction",0,3972.42220088802,3895.42330289353,4049.42109888251
"16","CCZ",87283,"Rarefaction",0,4082.18021854823,4046.71140755472,4117.64902954174,0.981768617762249,0.98072082291649,0.982816412608007,"CCZ",0.981768617896119,87283,"Rarefaction",0,4082.18023021998,3993.86646759776,4170.49399284219
"17","CCZ",93102,"Rarefaction",0,4184.81803145581,4143.06977165388,4226.56629125774,0.98293792877872,0.981827280963365,0.984048576594076,"CCZ",0.982937928819733,93102,"Rarefaction",0,4184.81803522284,4084.90699513604,4284.72907530965
"18","CCZ",98921,"Rarefaction",0,4280.9267436112,4232.52848244335,4329.32500477906,0.984015869440167,0.982840423723879,0.985191315156456,"CCZ",0.984015869398645,98921,"Rarefaction",0,4280.92673976423,4168.97832008572,4392.87515944273
"19","CCZ",104740,"Rarefaction",0,4370.98502019266,4315.55011100057,4426.41992938475,0.985020192665718,0.983776410770483,0.986263974560954,"CCZ",0.985020192665515,104739,"Rarefaction",0,4370.97360475608,4246.3443336616,4495.60287585056
"20","CCZ",104741,"Observed",0,4371,4315.56384702601,4426.43615297399,0.985020359838358,0.98377656581595,0.986264153860765,"CCZ",0.985020359838358,104741,"Observed",0,4371,4246.36847883052,4495.63152116948
"21","CCZ",104742,"Extrapolation",0,4371.01497964016,4315.57758287215,4426.45237640818,0.985020527009131,0.983776720859986,0.986264333158277,"CCZ",0.985020527009131,104742,"Extrapolation",0,4371.01497964017,4246.38120018177,4495.64875909857
"22","CCZ",110254,"Extrapolation",0,4451.09407248599,4388.62841080854,4513.55973416344,0.985914198937168,0.984609906783855,0.987218491090481,"CCZ",0.985914198937168,110254,"Extrapolation",0,4451.09407248599,4313.67641093671,4588.51173403527
"23","CCZ",115767,"Extrapolation",0,4526.40891043687,4456.6134586932,4596.20436218055,0.986754702420039,0.985401763491424,0.988107641348653,"CCZ",0.986754702420039,115767,"Extrapolation",0,4526.40891043687,4375.34807223119,4677.46974864255
"24","CCZ",121279,"Extrapolation",0,4597.21723695799,4519.85504761216,4674.57942630382,0.987544913840221,0.986153972109014,0.988935855571428,"CCZ",0.987544913840221,121279,"Extrapolation",0,4597.21723695799,4432.02817883244,4762.40629508354
"25","CCZ",126792,"Extrapolation",0,4663.81286695318,4578.69978202168,4748.92595188467,0.988288112132605,0.986868688176092,0.989707536089118,"CCZ",0.988288112132605,126792,"Extrapolation",0,4663.81286695317,4486.12595684737,4841.49977705897
"26","CCZ",132305,"Extrapolation",0,4726.4347180546,4633.43762510493,4819.43181100427,0.988986963585897,0.987547571525324,0.99042635564647,"CCZ",0.988986963585897,132305,"Extrapolation",0,4726.4347180546,4537.19797007936,4915.67146602983
"27","CCZ",137817,"Extrapolation",0,4785.30955070096,4684.34113578868,4886.27796561325,0.989643998816157,0.98819222809461,0.991095769537704,"CCZ",0.989643998816157,137817,"Extrapolation",0,4785.30955070097,4585.21405678228,4985.40504461966
"28","CCZ",143330,"Extrapolation",0,4840.68166247904,4731.69118027177,4949.67214468632,0.990261944151663,0.988804534595986,0.991719353707339,"CCZ",0.990261944151663,143330,"Extrapolation",0,4840.68166247904,4630.37345682781,5050.98986813027
"29","CCZ",148843,"Extrapolation",0,4892.7497056703,4775.72286614442,5009.77654519618,0.990843016525212,0.989385940223763,0.99230009282666,"CCZ",0.990843016525212,148843,"Extrapolation",0,4892.7497056703,4672.83818350312,5112.66122783748
"30","CCZ",154355,"Extrapolation",0,4941.70222424315,4816.65714807149,5066.74730041481,0.991389320062185,0.989937845669642,0.992840794454729,"CCZ",0.991389320062185,154355,"Extrapolation",0,4941.70222424316,4712.76200613755,5170.64244234877
"31","CCZ",159868,"Extrapolation",0,4987.74234373727,4854.72150413974,5120.76318333479,0.991903121616342,0.990461881099486,0.993344362133197,"CCZ",0.991903121616342,159868,"Extrapolation",0,4987.74234373726,4750.31058623843,5225.1741012361
