rec,reference,full_citation,INCL,year_published,size_cat,descr_id_with,new_gen_data_publ,OA,oa_cat-2ndary=repositary,DESCRIPTION,TOT_SAMPLING_EVENTS,stn_tot,samplingMethod,SINGLETON_ANALYSIS,paper_singleton_count,single_my_est,single_analysis_notes,incl_notes,year_survey/coll,TO_DO-GEN_NOTES,tot_taxa/morphospp,tot_ind,area sampled,id_notes,expedition,region_sampled,new family,new genus,new species,record,temp name record,tot_taxa_records,cumul_tot,desc_tot,cumul_desc_tot,cumul_new_sp,paper_notes,functional_group/sub-cat-fauna,categ,synthesis_muli-datasets,journal,article_type,key_provided,found_via,SITE_ADDED,site_table-lat-long-depth,site_mapping,,,,,
73,Amon_etal_2016,"Amon, D.J., Ziegler, A.F., Dahlgren, T.G., Glover, A.G., Goineau, A., Gooday, A.J., Wiklund, H. and Smith, C.R., 2016. Insights into the abundance and diversity of abyssal megafauna in a polymetallic-nodule region in the eastern Clarion-Clipperton Zone. Scientific Reports, 6(1), pp.1-12. https://doi.org/10.1038/srep30492",yes,2016,megafauna,morphology only (specimens and ROV imagery),existing data,yes,,,,,ROV and imagery,no,,,NA- spp per transect but diff morphospp names,,2013,,170,4470,900km2 (plus RV07),"180 morphotypes- imagery, 12 morphotypes- specimens",ABYSSLINE AB01,,,,,28,133,161,161,0,0,0,excluded 'unknown' phyla in s table 2. Amon_etal_2016 DWCA- supplementary,,community composition/species assemblages,,Scientific Reports,article,,,,y,use ABYSSLINE sites,,,,,
85,Amon_etal_2017a,"Amon, D.J., Ziegler, A.F., Kremenetskaia, A., Mah, C.L., Mooi, R., O'Hara, T., Pawson, D.L., Roux, M. and Smith, C.R., 2017. Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata. Biodiversity Data Journal, (5).: e11794. https://doi.org/10.3897/BDJ.5.e11794",yes,2017,megafauna,morphology and molecular data,yes,yes,,,na,,ROV and imagery,y,,,,,2013; 2015,,62,,,mostly from imagery only,ABYSSLINE AB01; AB02,,,,,16,46,62,223,0,0,0,62 morphotypes,,community composition/species assemblages,,Biodiversity data journal,article,,,,y- in text,use ABYSSLINE sites,,,,,
86,Amon_etal_2017b,"Amon, D.J., Ziegler, A.F., Drazen, J.C., Grischenko, A.V., Leitner, A.B., Lindsay, D.J., Voight, J.R., Wicksten, M.K., Young, C.M. and Smith, C.R., 2017. Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Annelida, Arthropoda, Bryozoa, Chordata, Ctenophora, Mollusca. Biodiversity Data Journal, (5).: e14598. https://doi.org/10.3897/BDJ.5.e14598",yes,2017,megafauna,morphology and molecular data,existing data,yes,,,na,,ROV and imagery,get data,,,no spp v site info but could add from OBIS records,,2013; 2015,PRINT,55,,,mostly from imagery only,ABYSSLINE AB01; AB02,,,,,12,43,55,278,0,0,0,,,community composition/species assemblages,,Biodiversity data journal,article,,,,y- in text,use ABYSSLINE sites,,,,,
87,Amon_etal_2017c,"Amon, D.J., Hilario, A., Arbizu, P.M. and Smith, C.R., 2017. Observations of organic falls from the abyssal Clarion-Clipperton Zone in the tropical eastern Pacific Ocean. Marine Biodiversity, 47(2), pp.311-321. doi:10.1007/s12526-016-0572-4",yes,2017,megafauna; meiofauna,morphology only (ROV imagery),no,n,,,7,7 falls,ROV and imagery,no,,,not spp level- poss add anyway,,2015,,,,,7 whalefalls,ABYSSLINE AB02; SO239 EcoResponse,,,,,22,7,29,307,0,0,0,another table of morphospecies names from different area. ids from video and specimens,,community composition/species assemblages,,Marine Biodiversity,article,,,,y,done sep table,,,,,
3,Amos_etal_1975,"Amos AF, Daubin SC, Garside CF, Malone TC, Paul AZ, Rice GE, Roels OA. 1975. Report on a Cruise to Study Environmental Base Line Conditions In a Manganese Nodule Province. In Offshore Technology Conference, Dallas, Texas. pp 341-356. OTC-2162, doi:10.4043/2162-MS",yes,1975,macrofauna,morphology only (specimens and imagery),no,yes,,,10,"6 box cores, 4 trawls","box core; small biological trawl, seabed phtography",no,,,add formatted data + not spp level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,NA- MAP ONLY,,,,,
4,Amos_etal_1976,"Amos, A.F., Roels, O.A. and Paul, A.Z., 1976, May. Environmental baseline conditions in a manganese-nodule province in April-May 1975. In Offshore Technology Conference. OTC-2456-MS, https://doi.org/10.4043/2456-MS",yes,1976,macrofauna,morphology only (specimens),no,yes,,,35,35 (of which 10 partially analysed),box core,no,,,not spp level,,,,,,,,,DOMES site C,,,,,,,,,,,,,,,,,,,,y,done sep table,,,,,
67,Arauijo-Silva_etal_2015,"Araujo-Silva, C.L., Froufe, E. and Larsen, K., 2015. Two new species of family Neotanaidae (Peracarida: Tanaidacea) from the Antarctic and Mid-Pacific Oceans. Zootaxa, 4018(4), pp.535-552.",yes,2015,macrofauna,morphology and molecular data,yes,n,,y,na,,EBS,y,,,,,2012,,,,,,BIONOD,,,,1,,,1,308,1,1,1,ref'd in Chim&Tong_2020,,taxonomy/species description,,Zootaxa,article,,,YES,"y- in text & site info in Larsen & Arauijo-Silva, 2014",in type loc,,,,,
135,Bai_etal_2020,"Bai, L., Wang, X., Zhou, Y., Lin, S., Meng, F. and Fontoura, P., 2020. Moebjergarctus clarionclippertonensis, a new abyssal tardigrade (Arthrotardigrada, Halechiniscidae, Euclavarctinae) from the Clarion-Clipperton Fracture Zone, North-East Pacific. Zootaxa, 4755(3), pp.zootaxa-4755.",yes,2020,meiofauna,morphology only (specimens),no,n,,y,6,6 stations,multicorer,y,,,,,2017; 2018,contract area not recorded. Western CCZ. Map to check where is,,,,,DY45-II; DY50-I,,,,1,,,1,309,1,2,2,list of sampling stations in paper,nodule fauna,taxonomy/species description,,Zootaxa,article,,,YES,y,in type loc,,,,,
159,Bezerra_etal_2021,"Bezerra, T.N., Pape, E., Hauquier, F. and Vanreusel, A., 2021. Description and distribution of Erebussau nom. nov. pro Erebus Bussau, 1993 nec Erebus Latreille, 1810 with description of a new specie, and of Odetenema gesarae gen. nov., sp. nov.(Nematoda: Desmoscolecida) from nodule-bearing abyssal sediments in the Pacific. Zootaxa, 4903(4), pp.zootaxa-4903.",yes,2021,meiofauna,morphology only (specimens),no,n,,y,na,8 stations,multicorer,y,,,"deSmet et al., 2017 has deplyments within station but for box core. Only listed at station level",,2015,email- deployment info missing,,,,,SO239 EcoResponse; SO242-2,,,2,3,2,,7,316,5,7,5,also collections from Peru basin. list of sampling stations in paper,,taxonomy/species description,,Zootaxa,article,y,,,y,in type loc,,,,,
59,Bitner_etal_2013,"Bitner, M.A., Melnik, V.P. and Zezina, O.N., 2013. New paedomorphic brachiopods from the abyssal zone of the North-eastern Pacific Ocean. Zootaxa, 3613(3), pp.281-288. https://doi.org/10.11646/zootaxa.3613.3.6",yes,2013,macrofauna,morphology only (specimens),no,n,,y,na,4 + pooled,,y,,,,,,email- info for pooled stations,5,15,,,,,,2,2,3,,7,323,4,11,7,,,taxonomy/species description,,Zootaxa,article,,,,,in type loc,,,,,
