rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,to_do,note,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,UPSET_NOTE,UPSET_CAT,INTERP_AREA1,latitude,longitude,station,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
2,Polychaeta sp. 1,Polychaeta,Polychaeta,class,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,883,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,,,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
3,Polynoidae sp. 1,Polynoidae,Polynoidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,939,Polynoidae,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
4,Sabellidae sp. 1,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
5,Sabellidae sp. 2,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
6,Sabellidae sp. 3,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
7,Sabellidae sp. 4,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
8,Serpulidae sp. 1,Serpulidae,Serpulidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,988,Serpulidae,"Rafinesque, 1815",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
9,Serpulidae sp. 2,Serpulidae,Serpulidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,988,Serpulidae,"Rafinesque, 1815",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
10,Decapoda (juvenile?) sp. 1,Decapoda,Decapoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1130,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,,,,UK-1; APEI-12,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
11,Decapoda sp. 2,Decapoda,Decapoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,,Presence data,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1130,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
