Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Animalia,Chaetognatha,,,,,,Chaetognatha,Chaetognatha sp. (NHM_251),water column,macrofauna
Animalia,Chaetognatha,,,,,,Chaetognatha,Chaetognatha sp. (NHM_368),water column,macrofauna
Animalia,Chaetognatha,,,,,,Chaetognatha,Chaetognatha sp. (NHM_409),water column,macrofauna
Animalia,Ctenophora,Tentaculata,Cydippida,Mertensiidae,,,Mertensiidae,cf. Mertensiidae morphospecies,water column,megafauna
Animalia,Ctenophora,Tentaculata,Lobata,,,,Lobata,cf. Lobata morphospecies 1,water column,megafauna
Animalia,Ctenophora,Tentaculata,Lobata,,,,Lobata,cf. Lobata morphospecies 2,water column,megafauna
Animalia,Ctenophora,Tentaculata,Lobata,,,,Lobata,cf. Lobata morphospecies 3,water column,megafauna
Animalia,Gastrotricha,,,,,,Gastrotricha,Gastroricha Motu 1,water column,meiofauna
Animalia,Hemichordata,Enteropneusta,,,,,Enteropneusta,Enteropneusta msp. 1 cf.Yoda,sediment,macrofauna
Animalia,Hemichordata,Enteropneusta,,,,,Enteropneusta,Enteropneusta msp. 2 cf. Saxipendium msp,sediment,macrofauna
Animalia,Nemertea,Hoplonemertea,Monostilifera,Poseidonemertidae,Diplomma,,Diplomma,Diplomma sp A,sediment,macrofauna
Animalia,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus,,Cerebratulus,Cerebratulus sp A,sediment,macrofauna
Animalia,Nemertea,Pilidiophora,Heteronemertea,Lineidae,,,Lineidae,Lineidae sp. (NHM_077),sediment,macrofauna
Animalia,Nemertea,,,,,,Nemertea,Nemertea sp. (NHM_077),sediment,macrofauna
Animalia,Nemertea,,,,,,Nemertea,Nemertea sp. (NHM_252),sediment,macrofauna
Animalia,Rotifera,,,,,,Rotifera,Rotifera Motu 1,water column,meiofauna
Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 1,nodule,macrofauna
Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 2,nodule,macrofauna
Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 3,nodule,macrofauna
Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 4,nodule,macrofauna
Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,Serpulidae,AB_ Serpulidae sp 5,nodule,macrofauna
Animalia,Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 1,nodule,macrofauna
Animalia,Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 2,nodule,macrofauna
Animalia,Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 3,nodule,macrofauna
Animalia,Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 4,nodule,macrofauna
Animalia,Annelida,Clitellata,,,,,Oligochaeta,AB_ Oligochaeta sp 1,sediment,macrofauna
Animalia,Annelida,Clitellata,,,,,Oligochaeta,AB_ Oligochaeta sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Amphinomida,Euphrosinidae,,,Euphrosinidae,AB_ Euphrosinidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Amphinomida,Euphrosinidae,,,Euphrosinidae,AB_ Euphrosinidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,,,Onuphidae,AB_ Onuphidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,Chrysopetalidae,AB_ Chrysopetalidae sp 1,sediment,macrofauna
