Phylum,Class,Order,Family,Genus,scientificName,taxonConceptID,size_cat
Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiohelus,Ophiohelus,25184904,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,(Aphelochaeta wilsoni) sp. 9,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,Chaetozone,(Chaetozone trubloodi) sp. 6,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,Sabellidae,(Jasmineira?) sp. 3,macrofauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,,Isididae,(Mopseinae) n. gen. 1,megafauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,,Isididae,(Mopseinae) n. gen. 2,megafauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,,Isididae,(Mopseinae) sp. 1,megafauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,,Isididae,(Mopseinae) sp. 2,megafauna
Bryozoa,Stenolaemata,Cyclostomatida,Anyutidae,,Anyutidae,?Anyutidae sp. incertae sedis,macrofauna
Annelida,Polychaeta,Phyllodocida,Sigalionidae,,Sigalionidae,?Leanira sp. 1,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,Acrocirridae,AB_ Acrocirridae sp 1,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,Acrocirridae,AB_ Acrocirridae sp 2,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,Acrocirridae,AB_ Acrocirridae sp 3,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,Acrocirridae,AB_ Acrocirridae sp 4,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,Acrocirridae,AB_ Acrocirridae sp 5,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,,Ampharetidae,AB_ Ampharetidae sp 1,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,,Ampharetidae,AB_ Ampharetidae sp 2,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,,Ampharetidae,AB_ Ampharetidae sp 3,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 1,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 10,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 2,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 3,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 4,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 5,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 6,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 6B,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 7,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 8,macrofauna
Arthropoda,Malacostraca,Amphipoda,,,Amphipoda,AB_ Amphipod Type 9,macrofauna
Annelida,Polychaeta,Spionida,Apistobranchidae,,Apistobranchidae,AB_ Apistobranchidae sp 1,macrofauna
Mollusca,Aplacophora,,,,Aplacophora,AB_ Aplacophora sp 1,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 1,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 10,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 11,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 12,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 2,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 3,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 4,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 5,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 6,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 7,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 8,macrofauna
Mollusca,Bivalvia,,,,Bivalvia,AB_ Bivalvia sp 9,macrofauna
Annelida,Polychaeta,,Capitellidae,,Capitellidae,AB_ Capitellidae sp 1,macrofauna
Annelida,Polychaeta,,Capitellidae,,Capitellidae,AB_ Capitellidae sp 2,macrofauna
Arthropoda,,,,,Chelicerata,AB_ Chelicerata sp 1    (sea mite),macrofauna
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Chrysopetalidae,AB_ Chrysopetalidae sp 1,macrofauna
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Chrysopetalidae,AB_ Chrysopetalidae sp 2,macrofauna
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,Chrysopetalidae,AB_ Chrysopetalidae sp 3,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,Cirratulidae,AB_ Cirratulidae sp 1,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,Cirratulidae,AB_ Cirratulidae sp 2,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,Cirratulidae,AB_ Cirratulidae sp 5,macrofauna
