rec,include,cat,new_species,marker,genBank_accession_no,BIN,SRA_NO,taxonConceptID,scientificName/TCID,phylum,lower_taxon,catalog_no,in-house_spec_no,typeStatus,year_date,cruise,contractor_Area,STATION-collection_code,lat,long,depth,data_name,database_link,DATA_SOURCE,ref_short,ref2,record_elsewhere,note
1,,sequence,,28S,KT592230,,,,Venustculus thor,Arthropoda,,,,,,,,,,,,,,,Arauijo-Silva_etal_2015,,,
2,,sequence,,28S,KT592231,,,,Venustculus thor,Arthropoda,,,,,,,,,,,,,,,Arauijo-Silva_etal_2015,,,
3,,sequence,,COI,KT592232,,,,Venustculus thor,Arthropoda,,,,,,,,,,,,,,,Arauijo-Silva_etal_2015,,,
4,,sequence,,COI,KT592233,,,,Venustculus thor,Arthropoda,,,,,,,,,,,,,,,Arauijo-Silva_etal_2015,,,
5,,sequence,,28S,KY748655,,,,Plenaster craigi,Porifera,,,,,,,,,,,,,,,Lim_etal_2017,,,
6,,sequence,,28S,KY748656,,,,Plenaster craigi,Porifera,,,,,,,,,,,,,,,Lim_etal_2017,,,
7,,sequence,,28S,KY748657,,,,Plenaster craigi,Porifera,,"NHMUK2017.3.1.1,",,PARATYPE,,,,,,,,,,,Lim_etal_2017,,,
8,,sequence,,COI,KY748658,,,,Plenaster craigi,Porifera,,,,HOLOTYPE,,,,,,,,,,,Lim_etal_2017,,,
9,,sequence,,COI,KY748659,,,,Plenaster craigi,Porifera,,,,,,,,,,,,,,,Lim_etal_2017,,,
10,,sequence,,COI,KY748660,,,,Plenaster craigi,Porifera,,,,,,,,,,,,,,,Lim_etal_2017,,,
11,,sequence,,COI,KY748661,,,,Plenaster craigi,Porifera,,"NHMUK2017.3.1.1,",,PARATYPE,,,,,,,,,,,Lim_etal_2017,,,
12,,sequence,,COI,KY748662,,,,Plenaster craigi,Porifera,,,,,,,,,,,,,,,Lim_etal_2017,,,
13,,sequence,,COI,KY748663,,,,Plenaster craigi,Porifera,,,,,,,,,,,,,,,Lim_etal_2017,,,
14,,sequence,,COI,MN608533,,,,Macrostylis metallicola,Arthropoda,,SMF 50941,,Holotype,,,,BC035-BIO,,,,,,,Riehl&DeSmet_2020,,,
15,,sequence,,COI,MN608526,,,,Macrostylis metallicola,Arthropoda,,SMF 50942,,Paratype,,,,BC025-GEO,,,,,,,Riehl&DeSmet_2020,,,
16,,sequence,,COI,MN608527,,,,Macrostylis metallicola,Arthropoda,,SMF 50943,,Paratype,,,,BC012-GEO,,,,,,,Riehl&DeSmet_2020,,,
17,,sequence,,COI,MN608532,,,,Macrostylis metallicola,Arthropoda,,SMF 50944,,Paratype,,,,BC015-BIO,,,,,,,Riehl&DeSmet_2020,,,
18,,sequence,,COI,MN608531,,,,Macrostylis metallicola,Arthropoda,,SMF 50945,,Paratype,,,,BC018-BIO,,,,,,,Riehl&DeSmet_2020,,,
19,,sequence,,COI,MN608529,,,,Macrostylis metallicola,Arthropoda,,SMF 50946,,Paratype,,,,BC024-BIO,,,,,,,Riehl&DeSmet_2020,,,
20,,sequence,,COI,MN608530,,,,Macrostylis metallicola,Arthropoda,,SMF 50947,,Paratype,,,,BC029-BIO,,,,,,,Riehl&DeSmet_2020,,,
21,,sequence,,COI,MN608528,,,,Macrostylis metallicola,Arthropoda,,SMF 50948,,Paratype,,,,BC036-BIO,,,,,,,Riehl&DeSmet_2020,,,
22,,sequence,,16S,MN608525,,,,Macrostylis metallicola,Arthropoda,,SMF 50941,,Holotype,,,,BC035-BIO,,,,,,,Riehl&DeSmet_2020,,,
23,,sequence,,16S,MN608518,,,,Macrostylis metallicola,Arthropoda,,SMF 50942,,Paratype,,,,BC025-GEO,,,,,,,Riehl&DeSmet_2020,,,
24,,sequence,,16S,MN608519,,,,Macrostylis metallicola,Arthropoda,,SMF 50943,,Paratype,,,,BC012-GEO,,,,,,,Riehl&DeSmet_2020,,,
25,,sequence,,16S,MN608524,,,,Macrostylis metallicola,Arthropoda,,SMF 50944,,Paratype,,,,BC015-BIO,,,,,,,Riehl&DeSmet_2020,,,
26,,sequence,,16S,MN608523,,,,Macrostylis metallicola,Arthropoda,,SMF 50945,,Paratype,,,,BC018-BIO,,,,,,,Riehl&DeSmet_2020,,,
27,,sequence,,16S,MN608521,,,,Macrostylis metallicola,Arthropoda,,SMF 50946,,Paratype,,,,BC024-BIO,,,,,,,Riehl&DeSmet_2020,,,
28,,sequence,,16S,MN608522,,,,Macrostylis metallicola,Arthropoda,,SMF 50947,,Paratype,,,,BC029-BIO,,,,,,,Riehl&DeSmet_2020,,,
29,,sequence,,16S,MN608520,,,,Macrostylis metallicola,Arthropoda,,SMF 50948,,Paratype,,,,BC036-BIO,,,,,,,Riehl&DeSmet_2020,,,
30,,sequence,,COI,MH124558,,,,Siphonis ruehlemanni,Arthropoda,,SMF37136/1–10,,(holotype),,,BGR,SO239-20,,,,,,,Mercado-Salas_etal_2019,,,
31,,sequence,,COI,MH124557,,,,Siphonis ruehlemanni,Arthropoda,,SMF37136/1–10,,(holotype),,,BGR,SO239-20,,,,,,,Mercado-Salas_etal_2019,,,
32,,sequence,,COI,MH124558,,,,Siphonis ruehlemanni,Arthropoda,,SMF37137/1,,(paratype),,,BGR,SO239-20,,,,,,,Mercado-Salas_etal_2019,,,
33,,sequence,,COI,MH124557,,,,Siphonis ruehlemanni,Arthropoda,,SMF37137/1,,(paratype),,,BGR,SO239-20,,,,,,,Mercado-Salas_etal_2019,,,
34,,sequence,,COI,MH124556,,,,Siphonis ruehlemanni,Arthropoda,,SMF37138/1,,,,,IFREMER,SO239-171,,,,,,,Mercado-Salas_etal_2019,,,
35,,sequence,,COI,MH124559,,,,Siphonis aureus,Arthropoda,,SMF37139/1,,(holotype),,,IOM,SO239-81,,,,,,,Mercado-Salas_etal_2019,,,
36,,sequence,,COI,MF157500,,,Lophomeniinae sp. (NHM_027),Lophomeniinae sp. (NHM_027),Mollusca,,20170079,NHM_027,,,,UK-1 Stratum A,EB01,,,,,,,Wiklund_etal_2017,,,
37,,sequence,,18S,MF157467,,,Yoldiella sp. (NHM_190),Yoldiella sp. (NHM_190),Mollusca,,20170054,NHM_042,,,,UK-1 Stratum A,EB01,,,,,,,Wiklund_etal_2017,,,
38,,sequence,,18S,MF157468,,,Thyasira sp. (NHM_180),Thyasira sp. (NHM_180),Mollusca,,20170038,NHM_051,,,,UK-1 Stratum A,EB01,,,,,,,Wiklund_etal_2017,,,
39,,sequence,,COI,MF157501,,,Thyasira sp. (NHM_180),Thyasira sp. (NHM_180),Mollusca,,20170038,NHM_051,,,,UK-1 Stratum A,EB01,,,,,,,Wiklund_etal_2017,,,
40,,sequence,,18S,MF157469,,,,Catillopecten sp.,Mollusca,,20170070,NHM_105,,,,UK-1 Stratum A,BC05,,,,,,,Wiklund_etal_2017,,,
41,,sequence,,18S,MF157470,,,,Bentharca cf. asperula,Mollusca,,20170061,NHM_108,,,,UK-1 Stratum A,BC05,,,,,,,Wiklund_etal_2017,,,
