rec,source,overlapping_name,INCLUDE,incl_note,Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,name_harmonised,taxonConceptID,ORIG_name_if_overlap,habitat_interim,size_cat,taxonRank,TR_w_TCID,temp_name_cat,CAT_EXPANDED,qualifier,qual2,qual_level,qual_interp,reference/id_by,ID_METHOD,descr_id_with_orig
1,literature,,,,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,,Abyssoberyx sp mtp 1,,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Simon-Lledó_etal_2020,morphology only (imagery),morphology only (imagery)
2,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST002,Abyssoberyx sp. OST002,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
3,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST004,Abyssoberyx sp. OST004,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
4,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST005,Abyssoberyx sp. OST005,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
5,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST008,Abyssoberyx sp. OST008,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
6,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST010,Abyssoberyx sp. OST010,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
7,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST012,Abyssoberyx sp. OST012,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
8,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST013,Abyssoberyx sp. OST013,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
9,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST014,Abyssoberyx sp. OST014,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
10,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST022,Abyssoberyx sp. OST022,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
11,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST029,Abyssoberyx sp. OST029,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
12,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT002,Abyssopathes lyra ANT002,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
13,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT005,Abyssopathes lyra ANT005,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
14,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT006,Abyssopathes lyra ANT006,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
15,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT007,Abyssopathes lyra ANT007,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
16,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT011,Abyssopathes lyra ANT011,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
17,literature,,,,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Abyssoprimnoa,,Abyssoprimnoa,,Abyssoprimnoa sp. 2,,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
