rec,reference,full_citation,year_published,descr_id_with,new_gen_data_publ,OA,DESCRIPTION,size_cat,categ,synthesis_muli-datasets,journal,article_type,key_provided
73,Amon_etal_2016,"Amon, D.J., Ziegler, A.F., Dahlgren, T.G., Glover, A.G., Goineau, A., Gooday, A.J., Wiklund, H. and Smith, C.R., 2016. Insights into the abundance and diversity of abyssal megafauna in a polymetallic-nodule region in the eastern Clarion-Clipperton Zone. Scientific Reports, 6(1), pp.1-12. https://doi.org/10.1038/srep30492",2016,morphology only (specimens and ROV imagery),existing data,yes,,megafauna,community composition/species assemblages,,Scientific Reports,article,
85,Amon_etal_2017a,"Amon, D.J., Ziegler, A.F., Kremenetskaia, A., Mah, C.L., Mooi, R., O'Hara, T., Pawson, D.L., Roux, M. and Smith, C.R., 2017. Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata. Biodiversity Data Journal, (5).: e11794. https://doi.org/10.3897/BDJ.5.e11794",2017,morphology and molecular data,yes,yes,,megafauna,community composition/species assemblages,,Biodiversity data journal,article,
86,Amon_etal_2017b,"Amon, D.J., Ziegler, A.F., Drazen, J.C., Grischenko, A.V., Leitner, A.B., Lindsay, D.J., Voight, J.R., Wicksten, M.K., Young, C.M. and Smith, C.R., 2017. Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Annelida, Arthropoda, Bryozoa, Chordata, Ctenophora, Mollusca. Biodiversity Data Journal, (5).: e14598. https://doi.org/10.3897/BDJ.5.e14598",2017,morphology and molecular data,existing data,yes,,megafauna,community composition/species assemblages,,Biodiversity data journal,article,
87,Amon_etal_2017c,"Amon, D.J., Hilario, A., Arbizu, P.M. and Smith, C.R., 2017. Observations of organic falls from the abyssal Clarion-Clipperton Zone in the tropical eastern Pacific Ocean. Marine Biodiversity, 47(2), pp.311-321. doi:10.1007/s12526-016-0572-4",2017,morphology only (ROV imagery),no,n,,megafauna; meiofauna,community composition/species assemblages,,Marine Biodiversity,article,
3,Amos_etal_1975,"Amos AF, Daubin SC, Garside CF, Malone TC, Paul AZ, Rice GE, Roels OA. 1975. Report on a Cruise to Study Environmental Base Line Conditions In a Manganese Nodule Province. In Offshore Technology Conference, Dallas, Texas. pp 341-356. OTC-2162, doi:10.4043/2162-MS",1975,morphology only (specimens and imagery),no,yes,,macrofauna,,,,,
4,Amos_etal_1976,"Amos, A.F., Roels, O.A. and Paul, A.Z., 1976, May. Environmental baseline conditions in a manganese-nodule province in April-May 1975. In Offshore Technology Conference. OTC-2456-MS, https://doi.org/10.4043/2456-MS",1976,morphology only (specimens),no,yes,,macrofauna,,,,,
67,Arauijo-Silva_etal_2015,"Araujo-Silva, C.L., Froufe, E. and Larsen, K., 2015. Two new species of family Neotanaidae (Peracarida: Tanaidacea) from the Antarctic and Mid-Pacific Oceans. Zootaxa, 4018(4), pp.535-552.",2015,morphology and molecular data,yes,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
135,Bai_etal_2020,"Bai, L., Wang, X., Zhou, Y., Lin, S., Meng, F. and Fontoura, P., 2020. Moebjergarctus clarionclippertonensis, a new abyssal tardigrade (Arthrotardigrada, Halechiniscidae, Euclavarctinae) from the Clarion-Clipperton Fracture Zone, North-East Pacific. Zootaxa, 4755(3), pp.zootaxa-4755.",2020,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Zootaxa,article,
159,Bezerra_etal_2021,"Bezerra, T.N., Pape, E., Hauquier, F. and Vanreusel, A., 2021. Description and distribution of Erebussau nom. nov. pro Erebus Bussau, 1993 nec Erebus Latreille, 1810 with description of a new specie, and of Odetenema gesarae gen. nov., sp. nov.(Nematoda: Desmoscolecida) from nodule-bearing abyssal sediments in the Pacific. Zootaxa, 4903(4), pp.zootaxa-4903.",2021,morphology only (specimens),no,n,y,meiofauna,taxonomy/species description,,Zootaxa,article,y
59,Bitner_etal_2013,"Bitner, M.A., Melnik, V.P. and Zezina, O.N., 2013. New paedomorphic brachiopods from the abyssal zone of the North-eastern Pacific Ocean. Zootaxa, 3613(3), pp.281-288. https://doi.org/10.11646/zootaxa.3613.3.6",2013,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
75,Blake_2016,"Blake, J.A., 2016. Kirkegaardia (Polychaeta, Cirratulidae), new name for Monticellina Laubier, preoccupied in the Rhabdocoela, together with new records and descriptions of eight previously known and sixteen new species from the Atlantic, Pacific, and Southern Oceans. Zootaxa, 4166(1), pp.1-93. http://mapress.com/j/zt/issue/view/zootaxa.4166.1",2016,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Zootaxa,article,
88,Blake_2017,"Blake, J.A., 2017. Polychaeta Orbiniidae from Antarctica, the Southern Ocean, the Abyssal Pacific Ocean, and off South America. Zootaxa, 4218(1), pp.1-145.",2017,morphology only (specimens),no,yes,y,macrofauna,,,Zootaxa,article,
112,Blake_2019,"Blake, J.A., 2019. New species of Cirratulidae (Annelida, Polychaeta) from abyssal depths of the Clarion-Clipperton Fracture Zone, North Equatorial Pacific Ocean. Zootaxa, 4629(2), pp.151-187.",2019,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Zootaxa,article,
136,Blake_2020,"Blake, J.A., 2020. New species and records of deep-water Orbiniidae (Annelida, Polychaeta) from the Eastern Pacific continental slope, abyssal Pacific Ocean, and the South China Sea. Zootaxa, 4730(1), pp.1-61. https://doi.org/10.11646/zootaxa.4730.1.1",2020,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Zootaxa,article,
113,Blazewicz_etal_2019a,"B?a?ewicz, M., Jó?wiak, P., Jennings, R.M., Studzian, M. and Frutos, I., 2019. Integrative systematics and ecology of a new deep-sea family of tanaidacean crustaceans. Scientific reports, 9(1), pp.1-70. doi:10.1038/s41598-019-53446-1",2019,morphology and molecular data,yes,n,y,macrofauna,taxonomy/species description/ community composition/species assemblages,,Progress in Oceanography,article,
114,Blazewicz_etal_2019b,"B?a?ewicz, M., Jó?wiak, P., Menot, L. and Pabis, K., 2019. High species richness and unique composition of the tanaidacean communities associated with five areas in the Pacific polymetallic nodule fields. Progress in Oceanography, 176, p.102141. https://doi.org/10.1016/j.pocean.2019.102141",2019,morphology only (specimens),no,yes,,macrofauna,community composition/species assemblages,,Scientific Reports,article,
21,Bluhm_1994,"Bluhm, H., 1994. Monitoring megabenthic communities in abyssal manganese nodule sites of the East Pacific Ocean in association with commercial deep?sea mining. Aquatic Conservation: Marine and Freshwater Ecosystems, 4(3), pp.187-201.",1994,morphology only (ROV imagery),no,n,,megafauna,,,,,
115,Bonifacio&Menot_2019,"Bonifacio, P. and Menot, L., 2019. New genera and species from the Equatorial Pacific provide phylogenetic insights into deep-sea Polynoidae (Annelida). Zoological Journal of the Linnean Society, 185(3), pp.555-635.https://doi.org/10.1093/zoolinnean/zly063",2019,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description,,Zoological Journal of the Linnean Society,article,y
137,Bonifacio_etal_2020,"Bonifácio, P., Martínez Arbizu, P. and Menot, L., 2020. Alpha and beta diversity patterns of polychaete assemblages across the nodule province of the eastern Clarion-Clipperton Fracture Zone (equatorial Pacific). Biogeosciences, 17(4), pp.865-886. doi:10.5194/bg-17-865-2020",2020,morphology and molecular data,yes,yes,,macrofauna,,yes,Biogeosciences,article,
160,Bonifacio_etal_2021,"Bonifácio, P., Neal, L. and Menot, L., 2021. Diversity of deep-sea scale-worms (Polynoidae) in the Clarion-Clipperton Fracture Zone. Frontiers in Marine Science, 8:656899.
doi: 10.3389/fmars.2021.656899",2021,morphology and molecular data,yes,yes,,macrofauna,,yes,Frontiers in Marine Science,article,
161,Bribiesca-Contreras_etal_2021,"Bribiesca-Contreras, G., Dahlgren, T.G., Drazen, J.C., Drennan, R., Horton, T., Jones, D.O., Leitner, A.B., McQuaid, K., Smith, C.R., Taboada, S. and Wiklund, H., 2021. Biogeography and connectivity across habitat types and geographical scales in Pacific abyssal scavenging amphipods. Frontiers in Marine Science, 8, p.1028.",2021,morphology and molecular data,yes,yes,,macrofauna,,,Frontiers in Marine Science,article,
183,Bribiesca-Contreras_etal_2022,"Bribiesca-Contreras, G., Dahlgren, T.G., Amon, D.J., Cairns, S., Drennan, R., Durden, J.M., Eléaume, M.P., Hosie, A.M., Kremenetskaia, A., McQuaid, K. and O’Hara, T.D., 2022.  Benthic megafauna of the western Clarion-Clipperton Zone, Pacific Ocean. ZooKeys, 1113, pp.1-110.",2022,morphology and molecular data,yes,yes,,megafauna,taxonomy/species description,,,article in prep,
138,Brix_etal_2020,"Brix, S., Osborn, K.J., Kaiser, S., Truskey, S.B., Schnurr, S.M., Brenke, N., Malyutina, M. and Martinez Arbizu, P., 2020. Adult life strategy affects distribution patterns in abyssal isopods–implications for conservation in Pacific nodule areas. Biogeosciences, 17(23), pp.6163-6184.",2020,morphology and molecular data,yes,yes,,macrofauna,,,Biogeosciences,article,
162,Brix_etal_2021,"Brix, S., Held, C., Kaiser, S., Jennings, R.M., Driskell, A. and Brandt, A., 2021. Evolution and phylogeny of the deep-sea isopod families Desmosomatidae Sars, 1897 and Nannoniscidae Hansen, 1916 (Isopoda: Asellota). Organisms Diversity & Evolution, 21(4), pp.691-717.",2021,morphology and molecular data,yes,yes,,macrofauna,,,,,
68,Cairns_2016,"Cairns, S.D., 2016. New abyssal Primnoidae (Anthozoa: Octocorallia) from the clarion-clipperton fracture zone, equatorial northeastern Pacific. Marine Biodiversity, 46(1), pp.141-150.",2016,morphology only (specimens),no,n,y,megafauna,taxonomy/species description,,Marine Biodiversity,article,
139,Chim_Tong_2020,"Chim, C.K. and Tong, S.J., 2020. Two new species of paratanaoid tanaidaceans of the family incertae sedis (Crustacea: Peracarida) from polymetallic nodule fields in the eastern Clarion-Clipperton Fracture Zone. Zootaxa, 4758(3), pp.461-485.",2020,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
76,Cho_etal_2016,"Cho, D.H., Wi, J.H. and Suh, H.L., 2016. Two new species of the deep-sea genus Parameiropsis (Copepoda: Harpacticoida) from the eastern central Pacific. Zootaxa, 4132(4), pp.521-539.",2016,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Zootaxa,article,
41,Choi_etal_2004,"Choi, J.W., Kim, D.S., Hyun, J.H. and Lee, C.H., 2004. Macrozoobenthic communities of the deep sea sediments in the Northeastern Pacific Ocean. Ocean and Polar Research, 26(2), pp.367-376.",2004,morphology only (specimens),no,yes,,macrofauna,,,,,
,Christodolou_etal_2022,"Christodoulou, M., De Grave, S., Vink, ?. and Martinez Arbizu, P., 2022. Taxonomic assessment of deep-sea decapod crustaceans collected from polymetallic nodule fields of the East Pacific Ocean using an integrative approach. Marine Biodiversity, 52(6), pp.1-19.",2022,,yes,,,megafauna,,,,,
117,Christodoulou_etal_2019,"Christodoulou, M., O’Hara, T.D., Hugall, A.F. and Arbizu, P.M., 2019. Dark ophiuroid biodiversity in a prospective abyssal mine field. Current Biology, 29(22), pp.3909-3912.",2019,morphology and molecular data,yes,yes,,megafauna,genetic studies,,Current Biology,article,
140,Christodoulou_etal_2020,"Christodoulou, M., O'Hara, T., Hugall, A.F., Khodami, S., Rodrigues, C.F., Hilario, A., Vink, A. and Martinez Arbizu, P., 2020. Unexpected high abyssal ophiuroid diversity in polymetallic nodule fields of the northeast Pacific Ocean and implications for conservation. Biogeosciences, 17(7), pp.1845-1876.",2020,morphology and molecular data,yes,yes,,megafauna,genetic studies,,Biogeosciences,article,
141,Chuar_etal_2020,"Chuar, C.H., Tong, S.J.W., Chim, C.K., San Wong, H.P. and Tan, K.S., 2020. Abyssal macrofaunal community structure in the polymetallic nodule exploration area at the easternmost region of the Clarion-Clipperton Fracture Zone, Pacific Ocean. Deep Sea Research Part I: Oceanographic Research Papers, 161, p.103284.",2020,morphology only (specimens),no,n,,macrofauna,,,Deep Sea Research Part I: Oceanographic Research Papers,article,
142,Cuvelier_etal_2020,"Cuvelier, D., Ribeiro, P.A., Ramalho, S.P., Kersken, D., Martinez Arbizu, P. and Colaço, A., 2020. Are seamounts refuge areas for fauna from polymetallic nodule fields?. Biogeosciences, 17(9), pp.2657-2680.",2020,morphology only (ROV video),no,yes,,megafauna (macrofauna),,,Biogeosciences,article,
77,Dahlgren_etal_2016,"Dahlgren, T.G., Wiklund, H., Rabone, M., Amon, D.J., Ikebe, C., Watling, L., Smith, C.R. and Glover, A.G., 2016. Abyssal fauna of the UK-1 polymetallic nodule exploration area, Clarion-Clipperton Zone, central Pacific Ocean: Cnidaria. Biodiversity data journal, (4): e9277. https://doi.org/10.3897/BDJ.4.e9277",2016,morphology and molecular data,yes,yes,,macrofauna (megafauna),community composition/species assemblages,,Biodiversity data journal,article,
22,Decraemer_Gourbault_1997,"Decraemer, W. and Gourbault, N., 1997. Deep?sea nematodes (Nemata, Prochaetosomatinae): new taxa from hydrothermal vents and a polymetallic nodule formation of the Pacific (East Rise; North Fiji and Lau Basins; Clarion?Clipperton fracture zone). Zoologica scripta, 26(1), pp.1-12.",1997,morphology only (specimens),no,n,y,meiofauna,species description,,,,
89,deSmet_etal_2017,"De Smet, B., Pape, E., Riehl, T., Bonifácio, P., Colson, L. and Vanreusel, A., 2017. The community structure of deep-sea macrofauna associated with polymetallic nodules in the eastern part of the Clarion-Clipperton Fracture Zone. Frontiers in Marine Science, 4, p.103.",2017,morphology only (specimens),no,yes,,macrofauna,genetic studies,,Frontiers in Marine Science,article,
