"","Species","Individuals"
"N1",1.00000000000323,1
"N21",12.967729718069,21
"N41",22.3655837625141,41
"N61",30.9286275389418,61
"N81",38.9070497345501,81
"N101",46.4439703636014,101
"N121",53.6362474311676,121
"N141",60.5516610172159,141
"N161",67.2387108946303,161
"N181",73.7328816660785,181
"N201",80.0607331681061,201
"N221",86.2426044075049,221
"N241",92.2944229841602,241
"N261",98.2289315204885,261
"N281",104.056530132731,281
"N301",109.785863320792,301
"N321",115.424234804375,321
"N341",120.977905198179,341
"N361",126.452308988125,361
"N381",131.852215172101,381
"N401",137.181848169838,401
"N421",142.444980243664,421
"N441",147.64500331794,441
"N461",152.784985623968,461
"N481",157.867717033405,481
"N501",162.895745894169,501
"N521",167.871409281556,521
"N541",172.796858199922,541
"N561",177.674078782648,561
"N581",182.504910270308,581
"N601",187.291060468133,601
"N621",192.034119024567,621
"N641",196.735569041996,641
"N661",201.396797182633,661
"N681",206.019102576562,681
"N701",210.603704684869,701
"N721",215.151750263353,721
"N741",219.664319577567,741
"N761",224.142431955707,761
"N781",228.587050720545,781
"N801",232.999087686078,801
"N821",237.37940714258,821
"N841",241.728829501214,841
"N861",246.048134549063,861
"N881",250.338064438607,881
"N901",254.599326352449,901
"N921",258.832594993514,921
"N941",263.038514771506,941
"N961",267.217701866969,961
"N981",271.370746078931,981
"N1001",275.498212536577,1001
"N1021",279.600643247465,1021
"N1041",283.678558539074,1041
"N1061",287.732458367934,1061
"N1081",291.762823533883,1081
"N1101",295.770116805757,1101
"N1121",299.754783938655,1121
"N1141",303.717254615038,1141
"N1161",307.657943370534,1161
"N1181",311.577250363108,1181
"N1201",315.475562158386,1201
"N1221",319.353252424044,1221
"N1241",323.210682584536,1241
"N1261",327.048202438967,1261
"N1281",330.866150724356,1281
"N1301",334.664855634545,1301
"N1321",338.444635360013,1321
"N1341",342.205798474405,1341
"N1361",345.948644452051,1361
"N1381",349.673464037108,1381
"N1401",353.380539626672,1401
"N1421",357.070145616169,1421
"N1441",360.74254877468,1441
"N1461",364.39800855542,1461
"N1481",368.03677737169,1481
"N1501",371.659100898223,1501
"N1521",375.265218325764,1521
"N1541",378.855362658284,1541
"N1561",382.429760889508,1561
"N1581",385.988634269335,1581
"N1601",389.53219853549,1601
"N1621",393.060664064075,1621
"N1641",396.574236086809,1641
"N1661",400.073114932335,1661
"N1681",403.55749611346,1681
"N1701",407.027570514946,1701
"N1721",410.483524637199,1721
"N1741",413.925540612431,1741
"N1761",417.353796433863,1761
"N1781",420.768466126563,1781
"N1801",424.169719770693,1801
"N1821",427.55772372044,1821
"N1841",430.93264068556,1841
"N1861",434.294629856294,1861
"N1881",437.643847001541,1881
"N1901",440.980444590163,1901
"N1921",444.304571886579,1921
"N1941",447.616375061487,1941
"N1961",450.915997255917,1961
"N1981",454.203578685825,1981
"N2001",457.479256723747,2001
"N2021",460.743166012616,2021
"N2041",463.995438507505,2041
"N2061",467.236203537157,2061
"N2081",470.465587963597,2081
"N2101",473.683716138839,2101
"N2121",476.890710041046,2121
"N2141",480.08668936606,2141
"N2161",483.271771495908,2161
"N2181",486.446071662457,2181
"N2201",489.609702925412,2201
"N2221",492.762776293379,2221
"N2241",495.905400712174,2241
"N2261",499.037683213195,2261
"N2281",502.159728845344,2281
"N2301",505.271640838577,2301
"N2321",508.373520552739,2321
"N2341",511.465467589243,2341
"N2361",514.547579830954,2361
"N2381",517.619953433894,2381
"N2401",520.682682943277,2401
"N2421",523.735861283472,2421
"N2441",526.779579799105,2441
"N2461",529.813928324588,2461
"N2481",532.838995172716,2481
"N2501",535.854867217633,2501
"N2521",538.861629900799,2521
"N2541",541.859367293926,2541
"N2561",544.848162072735,2561
"N2581",547.828095620072,2581
"N2601",550.799247982133,2601
"N2621",553.761698004065,2621
"N2641",556.715523229775,2641
"N2661",559.660800012851,2661
"N2681",562.597603521776,2681
"N2701",565.526007794821,2701
"N2721",568.446085708384,2721
"N2741",571.357909014526,2741
"N2761",574.261548433146,2761
"N2781",577.157073582669,2781
"N2801",580.044553073935,2801
"N2821",582.924054482189,2821
"N2841",585.795644398231,2841
"N2861",588.6593884353,2861
"N2881",591.515351261107,2881
"N2901",594.363596602173,2901
"N2921",597.204187276358,2921
"N2941",600.037185214886,2941
"N2961",602.862651460845,2961
"N2981",605.680646210037,2981
"N3001",608.49122879116,3001
"N3021",611.294457755801,3021
"N3041",614.090390802667,3041
"N3061",616.879084849264,3061
"N3081",619.660596047748,3081
"N3101",622.434979788415,3101
"N3121",625.202290709029,3121
"N3141",627.962582698227,3141
"N3161",630.715908964379,3161
"N3181",633.462321980246,3181
"N3201",636.201873531358,3201
"N3221",638.934614743673,3221
"N3241",641.660596051732,3241
"N3261",644.379867261897,3261
"N3281",647.092477518771,3281
"N3301",649.798475355292,3301
"N3321",652.497908660649,3321
"N3341",655.190824754589,3341
"N3361",657.877270327936,3361
"N3381",660.557291492156,3381
"N3401",663.230933815605,3401
"N3421",665.898242242596,3421
"N3441",668.559261219779,3441
"N3461",671.214034626074,3461
"N3481",673.862605814038,3481
"N3501",676.505017584166,3501
"N3521",679.141312257856,3521
"N3541",681.77153161875,3541
"N3561",684.395716960482,3561
"N3581",687.013909095039,3581
"N3601",689.62614836034,3601
"N3621",692.232474576768,3621
"N3641",694.832927151763,3641
"N3661",697.427544979978,3661
"N3681",700.01636656432,3681
"N3701",702.599429924287,3701
"N3721",705.17677265138,3721
"N3741",707.748431916165,3741
"N3761",710.314444454301,3761
"N3781",712.874846593419,3781
"N3801",715.429674262387,3801
"N3821",717.978962952783,3821
"N3841",720.522747819473,3841
"N3861",723.061063575799,3861
"N3881",725.593944587869,3881
"N3901",728.121424787893,3901
"N3921",730.643537826835,3921
"N3941",733.160316903972,3941
"N3961",735.671794897732,3961
"N3981",738.178004341704,3981
"N4001",740.678977403136,4001
"N4021",743.174745917156,4021
"N4041",745.66534135047,4041
"N4061",748.150794885295,4061
"N4081",750.631137315984,4081
"N4101",753.106399196987,4101
"N4121",755.576610671809,4121
"N4141",758.041801627722,4141
"N4161",760.502001639754,4161
"N4181",762.957239942343,4181
"N4201",765.407545509178,4201
"N4221",767.852947012813,4221
"N4241",770.293472791161,4241
"N4261",772.72915096361,4261
"N4281",775.160009311153,4281
"N4301",777.586075364941,4301
"N4321",780.00737635327,4321
"N4341",782.423939273921,4341
"N4361",784.835790821191,4361
"N4381",787.242957445459,4381
"N4401",789.645465334611,4401
"N4421",792.043340399232,4421
"N4441",794.436608328137,4441
"N4461",796.825294552504,4461
"N4481",799.209424239175,4481
"N4501",801.589022325544,4501
"N4521",803.964113508101,4521
"N4541",806.334722278014,4541
"N4561",808.700872802972,4561
"N4581",811.062589134787,4581
"N4601",813.419895053791,4601
"N4621",815.772814064373,4621
"N4641",818.121369534095,4641
"N4661",820.465584561842,4661
"N4681",822.805482036018,4681
"N4701",825.141084640601,4701
"N4721",827.472414882202,4721
"N4741",829.799494991152,4741
"N4761",832.122347046588,4761
"N4781",834.440992924084,4781
"N4801",836.755454282423,4801
"N4821",839.065752595777,4821
"N4841",841.371909122599,4841
"N4861",843.673944983631,4861
"N4881",845.971881055293,4881
"N4901",848.265738035598,4901
"N4921",850.555536481881,4921
"N4941",852.841296729497,4941
"N4961",855.123038932502,4961
"N4981",857.400783104545,4981
"N5001",859.67454903073,5001
"N5021",861.944356384159,5021
"N5041",864.210224616857,5041
"N5061",866.472173038977,5061
"N5081",868.730220788231,5081
"N5101",870.984386855556,5101
"N5121",873.234690012343,5121
"N5141",875.481148954511,5141
"N5161",877.723782130765,5161
"N5181",879.962607930189,5181
"N5201",882.197644475601,5201
"N5221",884.428909828674,5221
"N5241",886.656421865598,5241
"N5261",888.880198320334,5261
"N5281",891.100256759159,5281
"N5301",893.316614614202,5301
"N5321",895.529289201474,5321
"N5341",897.738297652053,5341
"N5361",899.943656987542,5361
"N5381",902.14538405075,5381
"N5401",904.343495602131,5401
"N5421",906.538008245828,5421
"N5441",908.728938419516,5441
"N5461",910.91630246763,5461
