"","sites","richness","sd"
"1",1,5.23,10.096358979675
"2",2,13.53,19.7650109174181
"3",3,22.75,31.7726694700418
"4",4,32.12,36.9414715899668
"5",5,42.02,42.0735239092403
"6",6,50.85,45.8355371370999
"7",7,59.59,46.6536984145692
"8",8,65.03,46.8031456682609
"9",9,70.8,47.0681860858706
"10",10,86.02,107.389969999836
"11",11,92.6,108.543246513251
"12",12,99.83,109.301182911525
"13",13,104.09,109.910348682345
"14",14,110.78,110.166502085789
"15",15,120.22,109.675976394012
"16",16,125.74,110.133034338137
"17",17,131.69,110.268514787927
"18",18,147.88,140.152894866264
"19",19,155.79,145.041080561698
"20",20,172.09,166.590351922119
"21",21,179.63,166.480238460845
"22",22,184.67,167.045693561294
"23",23,189.73,166.4978451039
"24",24,196.94,166.104860393863
"25",25,205.6,169.522621475481
"26",26,213.45,169.314445081131
"27",27,221.69,168.217673737261
"28",28,227.78,167.859403650613
"29",29,231.77,167.85129632138
"30",30,238.49,169.427407356768
"31",31,245.95,168.555441527964
"32",32,251.47,168.059660823053
"33",33,257.51,168.161568232171
"34",34,262.88,169.516083680171
"35",35,271.17,169.845506448084
"36",36,278.28,170.324294369668
"37",37,286,172.591243618375
"38",38,291.08,172.14790915449
"39",39,308.08,191.617868886927
"40",40,314.57,191.257046083975
"41",41,330.17,204.03886810353
"42",42,340.9,201.413515039096
"43",43,355.92,213.310447636085
"44",44,361.34,213.754329863405
"45",45,366.69,213.590361026036
"46",46,373.25,214.806954677398
"47",47,379.9,214.420831379073
"48",48,385.94,215.056009617791
"49",49,392.31,214.348564188559
"50",50,400.1,214.117144374643
"51",51,408.65,214.097229634981
"52",52,413.83,214.197070356938
"53",53,428.16,227.713834237251
"54",54,432.36,226.912545784369
"55",55,438.49,228.032582068547
"56",56,444.79,227.784866383909
"57",57,449.59,226.699377987232
"58",58,456.55,228.213190024175
"59",59,462.12,227.653568104493
"60",60,467.24,227.522587179312
"61",61,472.97,227.570100421959
"62",62,478.58,227.484006763846
"63",63,482.78,228.477374606482
"64",64,490.11,228.63896355732
"65",65,496.13,230.983783374111
"66",66,501.48,230.498207885406
"67",67,508.24,229.965263955804
"68",68,515.44,228.54596690797
"69",69,522.43,229.561164798923
"70",70,527.38,229.340502882998
"71",71,532.56,227.957125155348
"72",72,545.31,236.381462595073
"73",73,549.92,235.750153657415
"74",74,555.84,234.208994125531
"75",75,561.25,235.639785659932
"76",76,565.59,236.412030962551
"77",77,569.92,236.488950774415
"78",78,573.67,236.235845816178
"79",79,579.31,235.192321689757
"80",80,585.94,234.856105526406
"81",81,590.18,236.886810971234
"82",82,594.45,236.79212956993
"83",83,601.79,237.056285989789
"84",84,607.88,237.589165824479
"85",85,611.14,237.823889515419
"86",86,619.09,237.503262922828
"87",87,622.31,237.933684632564
"88",88,634.42,248.449176966545
"89",89,639.82,247.197151923706
"90",90,644.39,246.199307246972
"91",91,651.35,245.136629600142
"92",92,657.44,247.999198434677
"93",93,673.62,259.088252972386
"94",94,679.23,259.58073635551
"95",95,685.31,258.284460479628
"96",96,692.28,260.338671423175
"97",97,696.49,260.096543652933
"98",98,703.1,260.597816994353
"99",99,709.63,261.750504037024
"100",100,716.95,260.767219813559
"101",101,720.3,260.279434144121
"102",102,725.72,260.566673838293
"103",103,732.71,258.301182554573
"104",104,737.32,258.363649443058
"105",105,743.83,258.7792263297
"106",106,750.28,259.236722676087
"107",107,755.34,259.427505687178
"108",108,760.63,259.969837216986
"109",109,764.23,258.779335622948
"110",110,769.18,258.101748787707
"111",111,772.67,257.960769666375
"112",112,779.62,256.420573876338
"113",113,785.38,256.080549985367
"114",114,798.45,265.308944173742
"115",115,803.7,267.427683040791
"116",116,815.6,277.581656017785
"117",117,820.86,278.936545407081
"118",118,827.33,278.784992096386
"119",119,832.56,277.204672953164
"120",120,837.6,279.17439609381
"121",121,841.7,278.390884995333
"122",122,854.33,283.42558409073
"123",123,858.1,283.631874802605
"124",124,863.75,282.303310449787
"125",125,869.65,281.580366015197
"126",126,873.27,280.796912663968
"127",127,876.99,279.98374754419
"128",128,880.41,280.081412947714
"129",129,885,279.869630544313
"130",130,888.44,278.427994064512
"131",131,891.86,278.816438655698
"132",132,896.26,279.844062638355
"133",133,904.42,280.357786560046
"134",134,911.43,282.573035343131
"135",135,917.22,284.76506637982
"136",136,923.03,284.395920320509
"137",137,926.61,284.248180613031
"138",138,931.21,285.252512449208
"139",139,936.36,284.279863529025
"140",140,941.57,284.707656370459
"141",141,944.64,283.774719298833
"142",142,950.36,287.028577748705
"143",143,954.23,286.544401516421
"144",144,960.98,287.048793233781
"145",145,964.48,287.426950930514
"146",146,969.45,287.138103364984
"147",147,974.56,287.462402284669
"148",148,979.35,286.791318036321
"149",149,984.63,287.470179568967
"150",150,987.69,287.654629299749
"151",151,991.88,286.74580584852
"152",152,996.91,286.010104186845
"153",153,1000.88,284.872407377142
"154",154,1004.99,284.251080326297
"155",155,1008.76,284.97070981865
"156",156,1013.11,287.180086216283
"157",157,1017.28,287.139957427585
"158",158,1020.56,287.49061715036
"159",159,1026.8,286.671176849651
"160",160,1029.31,285.824969221205
"161",161,1033.57,287.273538564895
"162",162,1037.86,286.659831490041
"163",163,1042.53,284.711956336238
"164",164,1047.14,284.25500786257
"165",165,1052.15,282.310752737318
"166",166,1055.15,282.026446750419
"167",167,1060.29,281.463537836277
"168",168,1063.32,281.202428255102
"169",169,1066.64,279.385636240258
"170",170,1069.72,278.782637895403
"171",171,1072.73,278.454314298621
"172",172,1083.88,291.226153226719
"173",173,1087.28,290.400318612954
"174",174,1093.26,290.563146008199
"175",175,1096.52,290.84941711192
"176",176,1102.15,289.2077431309
"177",177,1106.72,288.417103963315
"178",178,1111.87,289.383135463885
"179",179,1114.67,290.241976894307
"180",180,1117.09,289.845416654388
"181",181,1121.3,289.55128992106
"182",182,1125.28,288.890356328829
"183",183,1128.7,289.447313815049
"184",184,1132.21,288.799930573035
"185",185,1136.4,290.404872374742
"186",186,1139.51,290.850459511378
"187",187,1142.41,290.60956816855
"188",188,1145.65,290.065279138362
"189",189,1149.98,289.971645426782
"190",190,1155.04,293.49475310644
"191",191,1157.31,294.48961824235
"192",192,1162.14,294.112842358854
"193",193,1165.46,293.734279011944
"194",194,1176.93,307.727291541709
"195",195,1179.54,307.205962563137
"196",196,1183.79,306.968339597346
"197",197,1187.67,305.413250590677
"198",198,1191.35,305.832771859777
"199",199,1195.7,306.071903481862
"200",200,1200.42,306.209348734694
"201",201,1206.85,304.21381950825
"202",202,1210.34,304.425878590431
"203",203,1214.95,306.425741164943
"204",204,1218.85,306.072757409546
"205",205,1221.34,305.578478405542
"206",206,1224.82,307.137924467925
"207",207,1228.07,306.802481618504
"208",208,1231.94,306.463398378101
"209",209,1237.03,304.862626953734
"210",210,1241.63,305.413369654369
"211",211,1245.5,305.93124929129
"212",212,1249.74,306.099693933631
"213",213,1253.73,305.61720478171
"214",214,1264.26,310.163939056282
"215",215,1268.07,309.762152320294
"216",216,1270.91,309.415352730033
"217",217,1278.1,308.774033947811
"218",218,1281.82,310.013566988885
"219",219,1286.02,309.247701705447
"220",220,1289.33,308.358280890816
"221",221,1293.85,307.658224875158
"222",222,1297.84,308.571675939188
"223",223,1302.33,307.665470137862
"224",224,1308.54,309.240628088558
"225",225,1311.6,308.568215204261
"226",226,1313.85,308.299977720768
"227",227,1316.06,308.06446327896
"228",228,1319.47,307.94743927095
"229",229,1322.88,307.762281344192
"230",230,1334.74,311.58151875277
"231",231,1339.91,312.941957215485
"232",232,1341.81,313.09970964825
"233",233,1345.79,312.233702132673
"234",234,1351.29,310.631851833867
"235",235,1356.04,309.14319260717
"236",236,1366.37,316.47412503739
"237",237,1370.09,317.728176022184
"238",238,1373.07,316.976794071424
"239",239,1376.18,316.154462312971
"240",240,1387.48,317.9176400557
"241",241,1391.65,317.515843078831
"242",242,1395.67,316.700382734601
"243",243,1398.7,317.49220940096
"244",244,1402.34,316.949386393717
"245",245,1407.01,319.8043750214
"246",246,1412.95,317.856087599785
"247",247,1416.53,317.430226326761
"248",248,1420.26,317.089593813879
"249",249,1423.86,316.531327378699
"250",250,1428.07,317.053137534076
"251",251,1432.29,316.83275692167
"252",252,1434.43,316.512985196468
"253",253,1437.19,315.981737581222
"254",254,1448.96,322.742193765184
"255",255,1451.62,321.973076859265
"256",256,1457.22,320.840266119507
"257",257,1461.05,320.190453898421
"258",258,1464.24,320.770288807767
"259",259,1467.9,320.955785368664
"260",260,1472.14,320.324709624405
"261",261,1477.23,318.307292445904
"262",262,1488.01,317.164472993576
"263",263,1490.86,316.353210730339
"264",264,1494.13,315.750593783682
"265",265,1497.11,314.792151885794
"266",266,1502.11,313.502304375079
"267",267,1506.31,313.872833253446
"268",268,1509.96,314.976539770918
"269",269,1512.05,315.110959293178
"270",270,1515.73,316.486674683983
"271",271,1519.49,315.370889396577
"272",272,1523.5,315.105161218065
"273",273,1527.57,315.058123705978
"274",274,1530.96,316.040143211605
"275",275,1534.48,315.545046488828
"276",276,1536.76,315.377507316568
"277",277,1547.22,328.606964274492
"278",278,1551.41,327.317906659874
"279",279,1556.33,327.158351520631
"280",280,1558.77,326.258119756537
"281",281,1560.38,325.583726915709
"282",282,1564.14,327.249943707506
"283",283,1567.15,326.502505907131
"284",284,1571.21,324.792748059311
"285",285,1576,325.847457649382
"286",286,1579.18,326.225750056613
"287",287,1582.48,326.517482323116
"288",288,1593.45,331.20896925224
"289",289,1596.53,330.983854926826
"290",290,1600.44,330.161616989821
"291",291,1605.12,329.683542173094
"292",292,1609.26,328.633768714346
"293",293,1612.32,327.731008202419
"294",294,1616.28,326.689148267829
"295",295,1620.73,326.550407728851
"296",296,1626.5,325.137096181182
"297",297,1630.86,325.2015076934
"298",298,1633.87,325.296559490201
"299",299,1638.88,326.296056929404
"300",300,1641.45,326.268971738337
"301",301,1652.26,329.293661578166
"302",302,1656.6,327.337931215008
"303",303,1659.19,327.208292324104
"304",304,1661.98,326.178050776077
"305",305,1665.27,326.313069448542
"306",306,1668.01,325.785158649008
"307",307,1680,331.933576171346
"308",308,1683.73,331.525700361224
"309",309,1688.79,331.156537643819
"310",310,1691.04,330.695805167764
"311",311,1695.21,331.045307863721
