"","sites","richness","sd"
"1",1,7.83,14.1935075497798
"2",2,23.69,87.6899606107745
"3",3,28.47,87.8196562291269
"4",4,37.33,96.8864851777636
"5",5,47.8,97.4804823769581
"6",6,65.87,127.8448914217
"7",7,73.99,128.327114764723
"8",8,82.35,128.477673649014
"9",9,89.79,130.183421107732
"10",10,97.42,130.177592759144
"11",11,102.74,131.40857866005
"12",12,112.1,130.794194107083
"13",13,128.67,161.980049588357
"14",14,145,178.046583394868
"15",15,152.26,178.14694989692
"16",16,162.94,177.261595195669
"17",17,170.48,176.697051703779
"18",18,176.77,177.240511991218
"19",19,184.42,177.250902463831
"20",20,192.13,176.532404957277
"21",21,199.45,177.647896842392
"22",22,204.86,176.795037409214
"23",23,213.06,176.916279920787
"24",24,218.63,176.234672232707
"25",25,228.03,177.747719018168
"26",26,234.46,177.972442538249
"27",27,243.15,178.484324354841
"28",28,248.55,177.359839383843
"29",29,255.11,177.866815171897
"30",30,262.8,177.073801882524
"31",31,270.28,184.779479817474
"32",32,276.94,187.285490493778
"33",33,284.12,187.097137845289
"34",34,293.14,185.79493529103
"35",35,298.62,185.082879605955
"36",36,307.5,185.697456779961
"37",37,313.17,185.494863932818
"38",38,319.99,184.918245380891
"39",39,328.51,186.429800745644
"40",40,332.33,186.099140245193
"41",41,340.66,184.355728816532
"42",42,346.9,183.542112526545
"43",43,353.64,183.416263337158
"44",44,359.01,183.857514824866
"45",45,363.78,184.755288876061
"46",46,371.33,186.275458838937
"47",47,376.71,185.346156903206
"48",48,382.08,186.317675929141
"49",49,387.9,189.94797267471
"50",50,392.88,190.680190238774
"51",51,400.65,194.475278219068
"52",52,407.28,200.73682856774
"53",53,413.54,200.077430465853
"54",54,418.5,203.179847684387
"55",55,433.25,213.479418495583
"56",56,440.99,212.168053031725
"57",57,448.32,210.914261866252
"58",58,456.56,210.895748097624
"59",59,460.69,210.142938126515
"60",60,467.2,210.192936862947
"61",61,474.86,211.650561067057
"62",62,482.1,210.006180765224
"63",63,488.54,209.477195306638
"64",64,492.42,208.346893134474
"65",65,497.61,208.501672352376
"66",66,502.75,207.993413600071
"67",67,508.52,210.541556635993
"68",68,513.36,209.737234354674
"69",69,518.16,208.824788574614
"70",70,522.89,209.864068319751
"71",71,528.08,208.888722974359
"72",72,534.37,210.326137080948
"73",73,539.91,210.201735473234
"74",74,544.23,210.50717279461
"75",75,549.17,210.708331850241
"76",76,553.49,210.03513390561
"77",77,559.02,209.720399724505
"78",78,566.82,215.207739900616
"79",79,570.53,214.021544039686
"80",80,575.08,213.639112296953
"81",81,579.92,215.345795680277
"82",82,583,214.679888544443
"83",83,590.21,214.036166820168
"84",84,596.9,212.780747401278
"85",85,602.57,215.038368904273
"86",86,606.79,214.352409490879
"87",87,622.37,229.918283902623
"88",88,627.57,229.636306873159
"89",89,633.81,231.198969581081
"90",90,639.38,231.375194011891
"91",91,645.22,229.874343364747
"92",92,652.15,229.005993261082
"93",93,659.05,231.257230299199
"94",94,664.7,230.918565382656
"95",95,671.17,232.558065085612
"96",96,683.68,243.712236339118
"97",97,689.36,242.754626083312
"98",98,696.31,242.199921385602
"99",99,701.85,241.200339003397
"100",100,708.98,240.294431349072
"101",101,712.5,241.099899660206
"102",102,717.22,240.832712801969
"103",103,721.61,240.705692084795
"104",104,726.21,240.329752211373
"105",105,731.22,242.116658583494
"106",106,735.2,241.530640923777
"107",107,746.78,245.379342688381
"108",108,750.63,244.868864307144
"109",109,755.17,244.662705566152
"110",110,761.78,245.759740602504
"111",111,765.73,244.648412125555
"112",112,770.9,243.2793422875
"113",113,782.07,247.88773342753
"114",114,785.48,247.162584203805
"115",115,789.03,248.364690108979
"116",116,792.31,247.561427740774
"117",117,797.87,247.762213104469
"118",118,802.54,247.450205989901
"119",119,807.42,247.919349056026
"120",120,811.68,247.57367559675
"121",121,814.95,246.821670176439
"122",122,820.95,245.205186187677
"123",123,824.66,244.495738328107
"124",124,829.1,245.349081345685
"125",125,834.19,245.826484547639
"126",126,840.35,248.524184340318
"127",127,847.07,247.330117393125
"128",128,851.36,247.232337461888
"129",129,855.25,247.288543481848
"130",130,860.52,249.097785350787
"131",131,865.17,248.612596891898
"132",132,870.45,247.720124537774
"133",133,875.39,247.078153709315
"134",134,887.61,254.930368587744
"135",135,890.41,254.800381166168
"136",136,897.39,254.321632639229
"137",137,902.05,253.193756405699
"138",138,907.34,253.194707685607
"139",139,912.26,254.045395609334
"140",140,916.28,252.741097216543
"141",141,920.2,254.727225863196
"142",142,922.88,254.121552081525
"143",143,927.41,254.086801958096
"144",144,938.85,267.278479031768
"145",145,942.45,267.131011439569
"146",146,947.55,266.14917116747
"147",147,951.71,266.990988195815
"148",148,955.66,266.367188654908
"149",149,961.58,265.630835954904
"150",150,966.89,266.014007947406
"151",151,971.79,265.620002555485
"152",152,976.01,266.29214210993
"153",153,980.54,266.230454586801
"154",154,984.99,266.520130003288
"155",155,990.48,267.09747322283
"156",156,993.19,269.019119706531
"157",157,998.55,268.815147142666
"158",158,1012.79,279.776689269471
"159",159,1025.55,289.749330012037
"160",160,1030.5,289.256989648662
"161",161,1034.74,288.179574346807
"162",162,1039.21,288.270646364758
"163",163,1043.94,288.371282140986
"164",164,1050.8,290.275243814758
"165",165,1056.91,288.885741455271
"166",166,1061.37,288.229098517695
"167",167,1065.45,288.042272956768
"168",168,1069.88,286.690001869122
"169",169,1072.38,286.313234557588
"170",170,1075.74,286.190606118201
"171",171,1079.22,287.683172390683
"172",172,1083.85,286.941213667556
"173",173,1088.47,285.667973371362
"174",174,1092.38,286.086897161112
"175",175,1095.37,285.820868356177
"176",176,1099.01,285.72666513946
"177",177,1104.68,288.039169614695
"178",178,1109.1,288.147847151739
"179",179,1115.34,288.455070464653
"180",180,1119.07,288.444040929042
"181",181,1122.69,288.409875809838
"182",182,1126.76,288.132304066144
"183",183,1131.65,286.214773316554
"184",184,1134.29,285.665386475686
"185",185,1145.21,296.017891044075
"186",186,1149.17,295.925326883167
"187",187,1151.74,295.892746744082
"188",188,1156.23,297.845694406966
"189",189,1158.59,297.433605017892
"190",190,1161.27,297.373039032516
"191",191,1165.75,296.173385439043
"192",192,1169.09,296.752663565693
"193",193,1172.91,295.308094379515
"194",194,1176.41,295.783161601313
"195",195,1181.94,294.45449717926
"196",196,1185.95,293.091545494584
"197",197,1189.64,292.93814702049
"198",198,1201.08,299.229741135132
"199",199,1206.43,298.565670660526
"200",200,1209.98,298.850997635743
"201",201,1214.97,298.657854814542
"202",202,1218.45,299.201981540189
"203",203,1222.25,300.955628629937
"204",204,1227.82,300.042703358012
"205",205,1232.05,302.897568277936
"206",206,1237.42,302.725804528244
"207",207,1242.15,301.247083895522
"208",208,1246.6,301.880001579328
"209",209,1249.51,300.968252126165
"210",210,1252.81,301.550963748043
"211",211,1258.87,301.027655865636
"212",212,1261.72,302.609595473652
"213",213,1264.78,301.84762963315
"214",214,1267.88,301.324727686182
"215",215,1271.56,301.54006451059
"216",216,1275.57,301.3908249996
"217",217,1278.6,300.712991123269
"218",218,1282.95,299.993918288523
"219",219,1288.07,299.606046216182
"220",220,1291.7,299.950820884849
"221",221,1294.75,300.127830509709
"222",222,1299.79,300.660091811469
"223",223,1305.3,300.280828155205
"224",224,1309.19,299.533566524267
"225",225,1313.27,298.90598011665
"226",226,1317.59,298.05426578651
"227",227,1319.99,298.86122231233
"228",228,1323.75,298.667389575694
"229",229,1327.17,297.931998715455
"230",230,1331,298.456906860145
"231",231,1334.53,298.117543593093
"232",232,1337.47,298.069290805363
"233",233,1339.57,298.223062573143
"234",234,1342.62,298.308693074199
"235",235,1345.25,298.578598183007
"236",236,1348.41,297.046780487485
"237",237,1353.05,296.012092811948
"238",238,1356.59,296.220607628569
"239",239,1360.89,295.910233965736
"240",240,1364.93,296.000145201985
"241",241,1368.43,296.450696157937
"242",242,1371.41,297.641676476527
"243",243,1376.14,299.193867084555
"244",244,1379.97,298.676658889938
"245",245,1383.29,298.221099423589
"246",246,1388.43,298.220928714321
"247",247,1393.74,296.961706200471
"248",248,1397.18,297.127948496566
"249",249,1402.25,296.952037585639
"250",250,1405.26,295.934425578411
"251",251,1409.72,294.121018176759
"252",252,1414.03,292.84823714682
"253",253,1417.75,293.818207211345
"254",254,1420.88,294.497321419453
"255",255,1423.67,294.312314531432
"256",256,1427.97,295.021808986688
"257",257,1431.44,296.8550413174
"258",258,1441.9,302.959526583131
"259",259,1444.9,303.373607050029
"260",260,1449.28,304.017944712266
"261",261,1452.55,304.407899358606
"262",262,1456.08,303.890386937013
"263",263,1472.79,314.303182942968
"264",264,1476.53,313.888401161684
"265",265,1480.67,315.291305258672
"266",266,1483.32,314.918167340679
"267",267,1487.34,314.71122630055
"268",268,1491.54,314.268476229346
"269",269,1495.6,315.489326525503
"270",270,1499.53,314.875619342885
"271",271,1504.84,313.504135265044
"272",272,1507.96,312.997464087575
"273",273,1511.46,314.055403334565
"274",274,1521.49,319.723823215151
"275",275,1524.21,319.252861847752
"276",276,1527.09,317.801128812891
"277",277,1530.2,317.04787262392
"278",278,1534.93,316.174170611099
"279",279,1537.41,315.376962034037
"280",280,1539.69,315.520179604053
"281",281,1543.71,314.610173890088
"282",282,1547.52,314.658239486538
"283",283,1549.93,314.991269880627
"284",284,1553.34,315.992559048053
"285",285,1557.7,316.168268074729
"286",286,1560.57,317.256301288202
"287",287,1565.06,317.492124136787
"288",288,1568.66,317.763975048123
"289",289,1571.57,317.44651199816
"290",290,1574.79,316.252561613772
"291",291,1578.31,316.967630345543
"292",292,1581.53,316.314938795262
"293",293,1585.73,316.043592920759
"294",294,1590.08,314.675644453334
"295",295,1593.17,314.030399834478
"296",296,1596.53,313.384568828457
"297",297,1599.77,313.337777370161
"298",298,1603.73,311.984681539257
"299",299,1606.18,312.497317321819
"300",300,1609.71,311.38635247077
"301",301,1613.59,309.259921245688
"302",302,1616.44,310.224464840958
"303",303,1621.04,309.679466741358
"304",304,1625.44,309.757882641565
"305",305,1628.29,309.50290202781
"306",306,1631.32,310.042059056249
"307",307,1634.5,310.071138790941
"308",308,1639.31,309.308048045728
"309",309,1642.4,309.622578979863
"310",310,1645.18,309.924180366356
"311",311,1648.57,308.673874351346
"312",312,1652.07,309.000057369809
"313",313,1654.88,308.750079703912
"314",314,1657.49,309.369822005439
"315",315,1659.93,309.692654909752
"316",316,1663.72,309.157214753826
"317",317,1668.82,308.952625573056
"318",318,1670.92,308.917421543903
"319",319,1673.65,308.009457253468
"320",320,1676.99,308.986008476668
"321",321,1680.3,308.007854419069
"322",322,1685.13,307.113760221146
"323",323,1688.01,307.131350672081
"324",324,1690.84,307.958239330785
"325",325,1694.26,307.183215161193
"326",326,1697.48,306.77716981417
"327",327,1699.73,306.402549472475
"328",328,1702.95,306.777330987935
"329",329,1705.03,307.500889544579
"330",330,1708.9,308.395276333225
"331",331,1712.6,311.032883382858
"332",332,1715.14,310.410676818353
"333",333,1719.18,309.662357017341
"334",334,1722.04,308.529157144152
"335",335,1725.75,307.979055269751
"336",336,1728.39,308.921810087075
"337",337,1730.35,309.364071585371
"338",338,1733.28,309.35064214897
"339",339,1736.87,308.758336247008
"340",340,1739.24,308.158004860487
"341",341,1741.84,308.576258767177
"342",342,1746.49,308.483337630997
"343",343,1750.3,307.299955460886
"344",344,1761.09,311.906943355116
"345",345,1765.18,310.98957012619
"346",346,1767.31,310.754074548484
"347",347,1769.22,311.012929024184
"348",348,1773.11,311.210601173592
"349",349,1776.05,310.723475590159
"350",350,1786.26,311.965959681501
"351",351,1788.95,312.335560775991
"352",352,1792.2,311.863153101847
"353",353,1794.65,311.938784949156
"354",354,1796.96,311.684278225465
"355",355,1799.43,311.266401701634
"356",356,1801.6,311.55089407023
"357",357,1805.9,311.129792007688
"358",358,1810.04,310.884788819254
"359",359,1811.99,310.189889544707
"360",360,1815.67,310.514953689265
"361",361,1817.55,310.925739778111
"362",362,1820.07,310.716287329971
"363",363,1822.38,310.714548917637
"364",364,1826.4,309.885153049978
"365",365,1836.27,314.960085814958
"366",366,1839.56,315.130382508253
"367",367,1842.11,314.499502817933
"368",368,1844.53,314.627130766152
"369",369,1847.21,314.115249228655
"370",370,1851.36,313.282862472865
"371",371,1854.38,314.099153745817
"372",372,1856.9,314.039742064535
"373",373,1859.3,313.112768919771
"374",374,1861.2,312.93256123131
"375",375,1863.07,313.711610955803
"376",376,1865.94,312.936912995497
"377",377,1869.08,313.05863780939
"378",378,1871.71,313.610138692787
"379",379,1874.72,313.468380955059
"380",380,1877.88,312.281286048591
"381",381,1880.41,311.561012556858
"382",382,1883.76,310.861238328212
"383",383,1887.67,309.655691980234
"384",384,1890.41,309.258680091798
"385",385,1892.56,308.513356782379
"386",386,1896.02,308.569458480697
"387",387,1898.48,308.338050086773
"388",388,1909.05,303.172264096127
"389",389,1910.66,303.089153133983
"390",390,1913.68,303.641464543134
"391",391,1916.61,303.517456439718
"392",392,1918.27,303.421760504211
"393",393,1921.43,303.280223622319
"394",394,1923.66,302.706252250453
"395",395,1926.53,302.749503248431
"396",396,1930.67,302.250616963052
"397",397,1933.49,302.699754398862
"398",398,1935.82,301.923208512337
"399",399,1939.22,301.649725959957
"400",400,1948.64,309.192056296354
"401",401,1951.29,309.030523646863
"402",402,1952.99,308.486055379553
"403",403,1955.12,308.095789905633
"404",404,1957.9,308.372184284517
"405",405,1959.83,308.251080101657
"406",406,1964.09,306.789471294192
