Site,Abundance,Species
CCZ,0,cf. Erebus (cf. Erebus/Prototricoma)
CCZ,0,cf. Erebus (cf. Erebus/Prototricoma)
CCZ,0,cf. Erebus (cf. Erebus/Prototricoma)
CCZ,0,cf. Erebus (cf. Erebus/Prototricoma)
CCZ,0,cf. Leptolaimidae family
CCZ,1,cf. Leptolaimidae family
CCZ,0,cf. Leptolaimidae family
CCZ,0,cf. Leptolaimidae family
CCZ,0,cf. Linhomoeidae family
CCZ,1,cf. Linhomoeidae family
CCZ,0,cf. Linhomoeidae family
CCZ,0,cf. Linhomoeidae family
CCZ,1,(Aphelochaeta wilsoni) sp. 9
CCZ,1,(Aphelochaeta wilsoni) sp. 9
CCZ,1,(Chaetozone trubloodi) sp. 6
CCZ,1,(Chaetozone trubloodi) sp. 6
CCZ,1,(elongata)
CCZ,1,(indet)
CCZ,1,(Jasmineira?) sp. 3
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,1,?Leanira sp. 1
CCZ,3,AB_ Acrocirridae sp 1
CCZ,1,AB_ Acrocirridae sp 1
CCZ,1,AB_ Acrocirridae sp 1
CCZ,1,AB_ Acrocirridae sp 1
CCZ,3,AB_ Acrocirridae sp 2
CCZ,2,AB_ Acrocirridae sp 3
CCZ,1,AB_ Acrocirridae sp 4
CCZ,1,AB_ Acrocirridae sp 5
CCZ,1,AB_ Ampharetidae sp 1
CCZ,1,AB_ Ampharetidae sp 1
CCZ,1,AB_ Ampharetidae sp 1
CCZ,1,AB_ Ampharetidae sp 1
CCZ,1,AB_ Ampharetidae sp 2
CCZ,1,AB_ Ampharetidae sp 2
CCZ,1,AB_ Ampharetidae sp 3
CCZ,1,AB_ Amphipod Type 1
CCZ,1,AB_ Amphipod Type 10
CCZ,1,AB_ Amphipod Type 2
CCZ,1,AB_ Amphipod Type 3
CCZ,1,AB_ Amphipod Type 4
CCZ,2,AB_ Amphipod Type 5
CCZ,1,AB_ Amphipod Type 6
CCZ,9,AB_ Amphipod Type 6B
CCZ,1,AB_ Amphipod Type 7
CCZ,3,AB_ Amphipod Type 8
CCZ,1,AB_ Amphipod Type 8
CCZ,1,AB_ Amphipod Type 9
CCZ,1,AB_ Apistobranchidae sp 1
CCZ,2,AB_ Aplacophora sp 1
CCZ,1,AB_ Aplacophora sp 1
CCZ,1,AB_ Bivalvia sp 1
CCZ,1,AB_ Bivalvia sp 10
CCZ,1,AB_ Bivalvia sp 10
CCZ,1,AB_ Bivalvia sp 10
CCZ,1,AB_ Bivalvia sp 10
CCZ,1,AB_ Bivalvia sp 10
CCZ,1,AB_ Bivalvia sp 10
CCZ,3,AB_ Bivalvia sp 11
CCZ,1,AB_ Bivalvia sp 11
CCZ,1,AB_ Bivalvia sp 11
CCZ,2,AB_ Bivalvia sp 12
CCZ,1,AB_ Bivalvia sp 2
CCZ,1,AB_ Bivalvia sp 2
CCZ,1,AB_ Bivalvia sp 2
CCZ,3,AB_ Bivalvia sp 3
CCZ,2,AB_ Bivalvia sp 3
CCZ,1,AB_ Bivalvia sp 3
CCZ,1,AB_ Bivalvia sp 3
CCZ,1,AB_ Bivalvia sp 3
CCZ,1,AB_ Bivalvia sp 3
CCZ,1,AB_ Bivalvia sp 3
CCZ,2,AB_ Bivalvia sp 4
CCZ,2,AB_ Bivalvia sp 4
CCZ,1,AB_ Bivalvia sp 4
CCZ,1,AB_ Bivalvia sp 4
CCZ,1,AB_ Bivalvia sp 4
CCZ,1,AB_ Bivalvia sp 4
CCZ,1,AB_ Bivalvia sp 5
CCZ,1,AB_ Bivalvia sp 5
CCZ,2,AB_ Bivalvia sp 6
CCZ,4,AB_ Bivalvia sp 7
CCZ,3,AB_ Bivalvia sp 7
CCZ,2,AB_ Bivalvia sp 7
CCZ,1,AB_ Bivalvia sp 7
CCZ,1,AB_ Bivalvia sp 7
CCZ,1,AB_ Bivalvia sp 8
CCZ,1,AB_ Bivalvia sp 8
CCZ,1,AB_ Bivalvia sp 8
CCZ,1,AB_ Bivalvia sp 8
CCZ,1,AB_ Bivalvia sp 8
CCZ,1,AB_ Bivalvia sp 9
CCZ,1,AB_ Bivalvia sp 9
CCZ,3,AB_ Capitellidae sp 1
CCZ,2,AB_ Capitellidae sp 1
CCZ,1,AB_ Capitellidae sp 1
CCZ,1,AB_ Capitellidae sp 1
CCZ,1,AB_ Capitellidae sp 1
CCZ,1,AB_ Capitellidae sp 2
CCZ,1,AB_ Chelicerata sp 1    (sea mite)
CCZ,2,AB_ Chrysopetalidae sp 1
CCZ,1,AB_ Chrysopetalidae sp 1
CCZ,1,AB_ Chrysopetalidae sp 1
CCZ,1,AB_ Chrysopetalidae sp 2
CCZ,1,AB_ Chrysopetalidae sp 2
CCZ,2,AB_ Chrysopetalidae sp 3
CCZ,2,AB_ Chrysopetalidae sp 3
CCZ,1,AB_ Chrysopetalidae sp 3
CCZ,1,AB_ Chrysopetalidae sp 3
CCZ,1,AB_ Chrysopetalidae sp 3
CCZ,1,AB_ Chrysopetalidae sp 3
CCZ,1,AB_ Chrysopetalidae sp 3
CCZ,3,AB_ Cirratulidae sp 1
CCZ,3,AB_ Cirratulidae sp 1
CCZ,2,AB_ Cirratulidae sp 1
CCZ,1,AB_ Cirratulidae sp 1
CCZ,1,AB_ Cirratulidae sp 1
CCZ,1,AB_ Cirratulidae sp 1
CCZ,1,AB_ Cirratulidae sp 1
CCZ,1,AB_ Cirratulidae sp 1
CCZ,1,AB_ Cirratulidae sp 1
CCZ,2,AB_ Cirratulidae sp 2
CCZ,1,AB_ Cirratulidae sp 2
CCZ,1,AB_ Cirratulidae sp 2
CCZ,1,AB_ Cirratulidae sp 5
CCZ,2,AB_ Cirratulidae sp 6
CCZ,1,AB_ Cirratulidae sp 6
CCZ,1,AB_ Cirratulidae sp 6
CCZ,1,AB_ Cirratulidae sp 6
CCZ,3,AB_ Ctenodrilidae sp 1
CCZ,1,AB_ Cumacea sp 1
CCZ,1,AB_ Cumacea sp 2
CCZ,1,AB_ Euphrosinidae sp 1
CCZ,1,AB_ Euphrosinidae sp 2
CCZ,1,AB_ Euphrosinidae sp 2
CCZ,1,AB_ Fauveliopsidae sp 1
CCZ,1,AB_ Flabelligeridae sp 1
CCZ,2,AB_ Flabelligeridae sp 2
CCZ,1,AB_ Flabelligeridae sp 2
CCZ,5,AB_ Glyceridae sp 1
CCZ,3,AB_ Glyceridae sp 1
CCZ,3,AB_ Glyceridae sp 1
CCZ,3,AB_ Glyceridae sp 1
CCZ,2,AB_ Glyceridae sp 1
CCZ,2,AB_ Glyceridae sp 1
CCZ,1,AB_ Glyceridae sp 1
CCZ,1,AB_ Glyceridae sp 2
CCZ,1,AB_ Glyceridae sp 3
CCZ,3,AB_ Goniadidae sp 1
CCZ,3,AB_ Goniadidae sp 1
CCZ,3,AB_ Goniadidae sp 1
CCZ,3,AB_ Goniadidae sp 1
CCZ,2,AB_ Goniadidae sp 1
CCZ,1,AB_ Goniadidae sp 1
CCZ,1,AB_ Goniadidae sp 1
CCZ,1,AB_ Goniadidae sp 2
CCZ,1,AB_ Isopoda Type 1
CCZ,1,AB_ Isopoda Type 1
CCZ,1,AB_ Isopoda Type 11
CCZ,1,AB_ Isopoda Type 12
CCZ,1,AB_ Isopoda Type 13
CCZ,1,AB_ Isopoda Type 14
CCZ,1,AB_ Isopoda Type 15
CCZ,1,AB_ Isopoda Type 16
CCZ,1,AB_ Isopoda Type 18
CCZ,1,AB_ Isopoda Type 19
CCZ,1,AB_ Isopoda Type 19
CCZ,1,AB_ Isopoda Type 2
CCZ,1,AB_ Isopoda Type 2
CCZ,1,AB_ Isopoda Type 20
CCZ,1,AB_ Isopoda Type 21
CCZ,1,AB_ Isopoda Type 22
CCZ,1,AB_ Isopoda Type 22
CCZ,1,AB_ Isopoda Type 23
CCZ,1,AB_ Isopoda Type 23
CCZ,1,AB_ Isopoda Type 24
CCZ,1,AB_ Isopoda Type 24
CCZ,1,AB_ Isopoda Type 25
CCZ,1,AB_ Isopoda Type 26
CCZ,1,AB_ Isopoda Type 27
CCZ,1,AB_ Isopoda Type 28
CCZ,1,AB_ Isopoda Type 29
CCZ,1,AB_ Isopoda Type 3
CCZ,1,AB_ Isopoda Type 3
CCZ,2,AB_ Isopoda Type 30
CCZ,1,AB_ Isopoda Type 32
CCZ,1,AB_ Isopoda Type 32
CCZ,1,AB_ Isopoda Type 33
CCZ,1,AB_ Isopoda Type 34
CCZ,1,AB_ Isopoda Type 35
CCZ,1,AB_ Isopoda Type 36
CCZ,1,AB_ Isopoda Type 36
CCZ,1,AB_ Isopoda Type 37
CCZ,1,AB_ Isopoda Type 38
CCZ,1,AB_ Isopoda Type 39
CCZ,1,AB_ Isopoda Type 39
CCZ,1,AB_ Isopoda Type 39
CCZ,1,AB_ Isopoda Type 39
CCZ,1,AB_ Isopoda Type 4
CCZ,1,AB_ Isopoda Type 4
CCZ,1,AB_ Isopoda Type 40
CCZ,1,AB_ Isopoda Type 41
CCZ,1,AB_ Isopoda Type 42
CCZ,1,AB_ Isopoda Type 43
CCZ,1,AB_ Isopoda Type 44
CCZ,1,AB_ Isopoda Type 5
CCZ,1,AB_ Isopoda Type 5
CCZ,1,AB_ Isopoda Type 5
CCZ,1,AB_ Isopoda Type 5
CCZ,1,AB_ Isopoda Type 5
CCZ,1,AB_ Isopoda Type 6
CCZ,1,AB_ Isopoda Type 6
CCZ,4,AB_ Isopoda Type 7
CCZ,2,AB_ Isopoda Type 8
CCZ,2,AB_ Isopoda Type 9
CCZ,1,AB_ Isopoda Type 9
CCZ,1,AB_ Isopoda Type 9
CCZ,1,AB_ Isopoda Type 9
CCZ,2,AB_ Lopadorhynchidae sp 1
CCZ,1,AB_ Lopadorhynchidae sp 1
CCZ,1,AB_ Lopadorhynchidae sp 1
CCZ,1,AB_ Lopadorrhynchidae sp 1
CCZ,5,AB_ Lumbrineridae sp 1
CCZ,5,AB_ Lumbrineridae sp 1
CCZ,4,AB_ Lumbrineridae sp 1
CCZ,3,AB_ Lumbrineridae sp 1
CCZ,2,AB_ Lumbrineridae sp 1
CCZ,2,AB_ Lumbrineridae sp 1
CCZ,2,AB_ Lumbrineridae sp 1
CCZ,2,AB_ Lumbrineridae sp 1
CCZ,2,AB_ Lumbrineridae sp 1
CCZ,2,AB_ Lumbrineridae sp 2
CCZ,1,AB_ Lumbrineridae sp 2
CCZ,1,AB_ Lumbrineridae sp 3
CCZ,6,AB_ Lumbrineridae sp1
CCZ,1,AB_ Maldanidae sp 1
CCZ,1,AB_ Maldanidae sp 1
CCZ,1,AB_ Maldanidae sp 2
CCZ,1,AB_ Maldanidae sp 3
CCZ,1,AB_ Maldanidae sp 4
CCZ,2,AB_ Nephtyidae sp 1
CCZ,1,AB_ Nereididae sp 1
CCZ,2,AB_ Nereididae sp 2
CCZ,1,AB_ Nereididae sp 2
CCZ,1,AB_ Nereididae sp 2
CCZ,1,AB_ Nereididae sp 3
CCZ,5,AB_ Nereididae sp 4
CCZ,3,AB_ Nereididae sp 4
CCZ,2,AB_ Nereididae sp 4
CCZ,2,AB_ Nereididae sp 4
CCZ,1,AB_ Nereididae sp 4
CCZ,1,AB_ Nereididae sp 4
CCZ,1,AB_ Nereididae sp 4
CCZ,1,AB_ Oligochaeta sp 1
CCZ,1,AB_ Oligochaeta sp 2
CCZ,1,AB_ Oligochaeta sp 2
CCZ,1,AB_ Oligochaeta sp 2
CCZ,1,AB_ Onuphidae sp 1
CCZ,1,AB_ Onuphidae sp 1
CCZ,2,AB_ Opheliidae sp 1
CCZ,1,AB_ Opheliidae sp 1
CCZ,1,AB_ Opheliidae sp 1
CCZ,1,AB_ Opheliidae sp 2
CCZ,1,AB_ Opheliidae sp 3
CCZ,2,AB_ Opheliidae sp 4
CCZ,1,AB_ Opheliidae sp 4
CCZ,2,AB_ Ophuroidea sp 1
CCZ,1,AB_ Ophuroidea sp 3
CCZ,1,AB_ Ophuroidea sp 4
CCZ,1,AB_ Ophuroidea sp 5
CCZ,1,AB_ Ophuroidea sp 5
