Site,Abundance,Species
KOREA1 KR5 (B2+B1) MNBC1901,1,(Aphelochaeta wilsoni) sp. 9
KOREA1 KR5 (B2+B1) MNBC1909,1,(Aphelochaeta wilsoni) sp. 9
KOREA1 KR5 (B2+B1) MNBC1907,1,(Chaetozone trubloodi) sp. 6
KOREA1 KR5 (B2+B1) MNBC1920,1,(Chaetozone trubloodi) sp. 6
KOREA1 KR5 (B2+B1) MNBS1919,1,(elongata)
KOREA1 KR5 (B2+B1) MNBC1921,1,(indet)
KOREA1 KR5 (B2+B1) MNBC1907,1,(Jasmineira?) sp. 3
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 BGR east #12EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #107EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #107EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #73EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #80EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #80EBS,1,?Leanira sp. 1
BGR1 OA BGR1 #80EBS,1,?Leanira sp. 1
UKSRL1 UK-1 UK1-A-A,3,AB_ Acrocirridae sp 1
UKSRL1 UK-1 UK1-A-F,1,AB_ Acrocirridae sp 1
UKSRL1 UK-1 UK1-A-H,1,AB_ Acrocirridae sp 1
UKSRL1 UK-1 UK1-A-J,1,AB_ Acrocirridae sp 1
UKSRL1 UK-1 UK1-A-B,3,AB_ Acrocirridae sp 2
UKSRL1 UK-1 UK1-A-J,2,AB_ Acrocirridae sp 3
UKSRL1 UK-1 UK1-A-L,1,AB_ Acrocirridae sp 4
UKSRL1 UK-1 UK1-A-E,1,AB_ Acrocirridae sp 5
UKSRL1 UK-1 UK1-A-A,1,AB_ Ampharetidae sp 1
UKSRL1 UK-1 UK1-A-D,1,AB_ Ampharetidae sp 1
UKSRL1 UK-1 UK1-A-H,1,AB_ Ampharetidae sp 1
UKSRL1 UK-1 UK1-A-I,1,AB_ Ampharetidae sp 1
UKSRL1 UK-1 UK1-A-B,1,AB_ Ampharetidae sp 2
UKSRL1 UK-1 UK1-A-K,1,AB_ Ampharetidae sp 2
UKSRL1 UK-1 UK1-A-B,1,AB_ Ampharetidae sp 3
UKSRL1 UK-1 UK1-A-A,1,AB_ Amphipod Type 1
UKSRL1 UK-1 UK1-A-L,1,AB_ Amphipod Type 10
UKSRL1 UK-1 UK1-A-A,1,AB_ Amphipod Type 2
UKSRL1 UK-1 UK1-A-C,1,AB_ Amphipod Type 3
UKSRL1 UK-1 UK1-A-E,1,AB_ Amphipod Type 4
UKSRL1 UK-1 UK1-A-F,2,AB_ Amphipod Type 5
UKSRL1 UK-1 UK1-A-F,1,AB_ Amphipod Type 6
UKSRL1 UK-1 UK1-A-F,9,AB_ Amphipod Type 6B
UKSRL1 UK-1 UK1-A-K,1,AB_ Amphipod Type 7
UKSRL1 UK-1 UK1-A-H,1,AB_ Amphipod Type 8
UKSRL1 UK-1 UK1-A-K,3,AB_ Amphipod Type 8
UKSRL1 UK-1 UK1-A-K,1,AB_ Amphipod Type 9
UKSRL1 UK-1 UK1-A-J,1,AB_ Apistobranchidae sp 1
UKSRL1 UK-1 UK1-A-A,2,AB_ Aplacophora sp 1
UKSRL1 UK-1 UK1-A-B,1,AB_ Aplacophora sp 1
UKSRL1 UK-1 UK1-A-B,1,AB_ Bivalvia sp 1
UKSRL1 UK-1 UK1-A-A,1,AB_ Bivalvia sp 10
UKSRL1 UK-1 UK1-A-F,1,AB_ Bivalvia sp 10
UKSRL1 UK-1 UK1-A-G,1,AB_ Bivalvia sp 10
UKSRL1 UK-1 UK1-A-H,1,AB_ Bivalvia sp 10
UKSRL1 UK-1 UK1-A-I,1,AB_ Bivalvia sp 10
