SAMPLING_UNIT,region,Latitude,Longitude
28th cruise_YUZ2_Sta. 2483-43,west,10.02167,-146.418333333333
28th cruise_YUZ2_Sta. 2483-43,west,10.02167,-146.418333333333
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
Korea KR5_TC05,central,10.03300,-131.78300
DY45-II_KW1-S05,west,10.08000,-154.33000
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
KOREA KR5_Stn. SD12,central,10.28920,-131.55500
