Phylum,Total,Data
Annelida,76,named species
Arthropoda,117,named species
Brachiopoda,6,named species
Bryozoa,20,named species
Chordata,14,named species
Cnidaria,10,named species
Echinodermata,58,named species
Kinorhyncha,11,named species
Loricifera,1,named species
Mollusca,18,named species
Nematoda,70,named species
Platyhelminthes,1,named species
Porifera,29,named species
Tardigrada,1,named species
Annelida,1602,morphospecies
Arthropoda,1395,morphospecies
Brachiopoda,8,morphospecies
Bryozoa,59,morphospecies
Chaetognatha,3,morphospecies
Chordata,98,morphospecies
Cnidaria,311,morphospecies
Ctenophora,0,named species
Ctenophora,9,morphospecies
Echinodermata,506,morphospecies
Gastrotricha,1,morphospecies
Hemichordata,3,morphospecies
Kinorhyncha,19,morphospecies
Loricifera,2,morphospecies
Mollusca,113,morphospecies
Nematoda,588,morphospecies
Nemertea,8,morphospecies
Porifera,228,morphospecies
Rotifera,1,morphospecies
Tardigrada,1,morphospecies
Unassigned,11,morphospecies
Unassigned,0,named species
