Site,Abundance,Species,rec,size_cat,REGION,SOURCE
site 14_-130_5017,3,Acanthocope galatheae,4615,macrofauna,CENTRAL,OBIS
site 14_-130_5027,4,Acanthocope galatheae,58103,macrofauna,CENTRAL,OBIS
site 14_-130_4986,2,Acanthocope galatheae,115546,macrofauna,CENTRAL,OBIS
site 14_-130_5045,3,Acanthocope galatheae,36935,macrofauna,CENTRAL,OBIS
site 14_-130_5022,8,Acanthocope galatheae,2357,macrofauna,CENTRAL,OBIS
site 14_-130_5017,1,Acanthomunna aff. tannerensis,54053,macrofauna,CENTRAL,OBIS
site 14_-130_5027,4,aff. Heteromesus spinosus,9104,macrofauna,CENTRAL,OBIS
site 14_-130_5022,2,aff. Heteromesus spinosus,60722,macrofauna,CENTRAL,OBIS
site 14_-130_5017,1,aff. Stylomesus inermis,89410,macrofauna,CENTRAL,OBIS
site 14_-130_5027,3,aff. Stylomesus inermis,68920,macrofauna,CENTRAL,OBIS
site 14_-130_4986,1,aff. Stylomesus inermis,42561,macrofauna,CENTRAL,OBIS
site 14_-130_5022,5,aff. Stylomesus inermis,84119,macrofauna,CENTRAL,OBIS
site 13.29668_-134.1772_4774,1,Alyonushka filia,90506,macrofauna,CENTRAL,OBIS
site 14.08687_-131.7856_5122,1,Anyuta anastema,112657,macrofauna,CENTRAL,OBIS
site 12.08_-140.618_NA,NA,Bathyspinula calcar,80784,macrofauna,CENTRAL,OBIS
site 13.6785_-114.4067_3915,1,cf. Acrocirridae sp.,77806,macrofauna,EAST,OBIS
site 13.85_-116.6456_4110,1,cf. Columnella sp.,97862,macrofauna,EAST,OBIS
site 13.8484_-116.6567_4110,1,cf. Lepralielloidea sp.,20802,macrofauna,EAST,OBIS
site 13.85_-116.6456_4110,1,cf. Munnopsidae sp.,110668,macrofauna,EAST,OBIS
site 13.7603_-116.4678_4070,1,cf. Munnopsidae sp.,35207,macrofauna,EAST,OBIS
site 13.8484_-116.6567_4110,1,cf. Notoplites sp.,48432,macrofauna,EAST,OBIS
site 13.8502_-116.6457_4110,1,cf. Notoplites sp.,123476,macrofauna,EAST,OBIS
site 13.8647_-116.5482_4026,1,cf. Notoplites sp.,107675,macrofauna,EAST,OBIS
site 13.6793_-114.4072_3914,1,cf. Notoplites sp.,34883,macrofauna,EAST,OBIS
site 13.8637_-116.5461_4035,1,cf. Polychaeta sp.,116181,macrofauna,EAST,OBIS
site 12.5849_-116.7102_4222,1,cf. Polynoidae sp.,48206,macrofauna,EAST,OBIS
site 13.8633_-116.5464_4029,1,cf. Sabellidae sp. 1,56420,macrofauna,EAST,OBIS
site 13.6794_-114.4105_3934,1,cf. Sabellidae sp. 1,216,macrofauna,EAST,OBIS
site 13.6794_-114.4142_3950,1,cf. Sabelllidae sp. 2,109223,macrofauna,EAST,OBIS
site 13.8561_-116.5476_4024,1,cf. Serpulidae sp. 1,124180,macrofauna,EAST,OBIS
site 13.8498_-116.6457_4109,1,cf. Serpulidae sp. 2,72068,macrofauna,EAST,OBIS
