Site,Abundance,Species
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Leptolaimidae family
central,1, cf. Leptolaimidae family
central,0, cf. Leptolaimidae family
central,0, cf. Leptolaimidae family
central,0, cf. Linhomoeidae family
central,1, cf. Linhomoeidae family
central,0, cf. Linhomoeidae family
central,0, cf. Linhomoeidae family
central,1,(Aphelochaeta wilsoni) sp. 9
central,1,(Aphelochaeta wilsoni) sp. 9
central,1,(Chaetozone trubloodi) sp. 6
central,1,(Chaetozone trubloodi) sp. 6
central,1,(elongata)
central,1,(indet)
central,1,(Jasmineira?) sp. 3
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
east,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
east,3,AB_ Acrocirridae sp 1
east,1,AB_ Acrocirridae sp 1
east,1,AB_ Acrocirridae sp 1
east,1,AB_ Acrocirridae sp 1
east,3,AB_ Acrocirridae sp 2
east,2,AB_ Acrocirridae sp 3
east,1,AB_ Acrocirridae sp 4
east,1,AB_ Acrocirridae sp 5
east,1,AB_ Ampharetidae sp 1
east,1,AB_ Ampharetidae sp 1
east,1,AB_ Ampharetidae sp 1
east,1,AB_ Ampharetidae sp 1
east,1,AB_ Ampharetidae sp 2
east,1,AB_ Ampharetidae sp 2
east,1,AB_ Ampharetidae sp 3
east,1,AB_ Amphipod Type 1
east,1,AB_ Amphipod Type 10
east,1,AB_ Amphipod Type 2
east,1,AB_ Amphipod Type 3
east,1,AB_ Amphipod Type 4
east,2,AB_ Amphipod Type 5
east,1,AB_ Amphipod Type 6
east,9,AB_ Amphipod Type 6B
east,1,AB_ Amphipod Type 7
east,3,AB_ Amphipod Type 8
east,1,AB_ Amphipod Type 8
east,1,AB_ Amphipod Type 9
east,1,AB_ Apistobranchidae sp 1
east,2,AB_ Aplacophora sp 1
east,1,AB_ Aplacophora sp 1
east,1,AB_ Bivalvia sp 1
east,1,AB_ Bivalvia sp 10
east,1,AB_ Bivalvia sp 10
east,1,AB_ Bivalvia sp 10
east,1,AB_ Bivalvia sp 10
east,1,AB_ Bivalvia sp 10
east,1,AB_ Bivalvia sp 10
east,3,AB_ Bivalvia sp 11
east,1,AB_ Bivalvia sp 11
east,1,AB_ Bivalvia sp 11
east,2,AB_ Bivalvia sp 12
east,1,AB_ Bivalvia sp 2
east,1,AB_ Bivalvia sp 2
east,1,AB_ Bivalvia sp 2
east,3,AB_ Bivalvia sp 3
