rec_long,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,descr_id_with,short_spp_cl,SPP_CHECKLIST,INCL,incl_note,ERIK_LIST,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,scientificName,taxonRank,otherRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,SOURCE_ED,inferred,notes,size_cat,size_cat_notes,name_verbatim,habitat_info,source_habitat_info,pelagic,habitat_interim,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,GBIF,OBIS,LIT,DD,sept_check,source_OBIS_DD,sole_source,sole_check,type_loc_info_OBIS,note,cl,cl2,cl3
3154,,,,,,,,,,,,,,poss,double check,,Cnidaria,Anthozoa,Scleractinia,Actinacididae,,,,,Actinacididae,family,,,,,,,,,,y,,,,,,,,,,,exact,1348111,Actinacididae,"Vaughan & Wells, 1943",Animalia,,,,,,,,,,,,,,,,,
3147,,,,,,,,,,,,,,poss,double check,,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,,,,,Ascidiidae,family,,,,,,,,,,y,,,,,,,,,,,exact,103443,Ascidiidae,"Herdman, 1882",Animalia,,,,,,,,,,,,,,,,,
3148,,,,,,,,,,,,,,poss,double check,,Chordata,Actinopteri,Ophidiiformes,Bythitidae,Brotulina,,,,Brotulina,genus,,,,,,,,,,y,,,,,,,,,,,exact,268981,Diancistrus,"Ogilby, 1899",Animalia,,,,,,,,,,,,,,,,,
3149,,,,,,,,,,,,,,poss,double check,,Chordata,Actinopteri,Ophidiiformes,Bythitidae,,,,,Bythitidae,family,,,,,,,,,,y,,,,,,,,,,,exact,125503,Bythitidae,"Gill, 1861",Animalia,,,,,,,,,,,,,,,,,
3155,,,,,,,,,,,,,,poss,double check,,Cnidaria,Anthozoa,Spirularia,Cerianthidae,,,,,Cerianthidae,family,,,,,,,,,,y,,,,,,,,,,,exact,100684,Cerianthidae,"Milne Edwards & Haime, 1851",Animalia,,,,,,,,,,,,,,,,,
3150,,,,,,,,,,,,,,poss,double check,,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,Chiasmodon,,,,Chiasmodon,genus,,,,,,,,,,y,,,,,,,,,,,exact,125956,Chiasmodon,"Johnson, 1864",Animalia,,,,,,,,,,,,,,,,,
3152,,,,,,,,,,,,,,poss,double check,,Chordata,Actinopteri,Scombriformes,Chiasmodontidae,,,,,Chiasmodontidae,family,,,,,,,,,,y,,,,,,,,,,,exact,125529,Chiasmodontidae,"Jordan & Gilbert, 1883",Animalia,,,,,,,,,,,,,,,,,
3156,,,,,,,,,,,,,,poss,double check,,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,Clavularia,,,,Clavularia,genus,,,,,,,,,,y,,,,,,,,,,,exact,125286,Clavularia,"Blainville, 1830",Animalia,,,,,,,,,,,,,,,,,
3157,,,,,,,,,,,,,,poss,double check,,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,,,,,Clavulariidae,family,,,,,,,,,,y,,,,,,,,,,,exact,125270,Clavulariidae,"Hickson, 1894",Animalia,,,,,,,,,,,,,,,,,
3133,,,,,,,,,,,,,,poss,double check,,Arthropoda,Malacostraca,Tanaidacea,Cryptocopidae,,,,,Cryptocopidae,family,,,,,,,,,,y,,,,,,,,,,,exact,448994,Cryptocopidae,"Sieg, 1977",Animalia,,,,,,,,,,,,,,,,,
