rec_long,descr_id_with,SPP_CHECKLIST,FULL_SPP_CHECKLIST,INCL,incl_note,size_cat,Phylum,Class,Order,Family,Genus,Subgenus,specificEpiphet,Subspecies,scientificName,ScientificName_accepted,taxonRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,notes,SOURCE_ED,inferred,size_cat_notes,habitat_info,source_habitat_info,hab_confirmed,hab/group,pelagic,habitat_interim,QA/QC,type_loc_elsewhere,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,Authority_accepted,AphiaID_accepted,isMarine,isBrackish,isFresh,isTerrestrial,extra_AphiaID,extra_authority,Citation,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,source_OBIS_DD,sole_source,type_loc_info_OBIS,cl,cl2,cl3
6,morphology and molecular data,no,yes,,pelagic but poss include- in ABYSSLINE cnidaria paper..,macrofauna,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,,eschscholtzii,,Abylopsis eschscholtzii,Abylopsis eschscholtzii,species,,,,,,,,,literature; GBIF; DD; OBIS only,,,pelagic,WoRMS,,,yes,water column,,,,,,,,yes,,,,,No match found,exact,accepted,"(Huxley, 1859)",196656,1,0,0,0,,,"Schuchert, P. (2023). World Hydrozoa Database. Abylopsis eschscholtzii (Huxley, 1859). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=196656 on 2023-01-30",Animalia,literature,GBIF,DD,OBIS only,,,,,,
7,morphology and molecular data,,,,,macrofauna,Annelida,Polychaeta,Phyllodocida,Polynoidae,Abyssarya,,,,Abyssarya,Abyssarya,genus,,Bonifacio&Menot_2019,2019,new genus,new genus,y,,,literature,,,,,,,,sediment,,,,,,,,,,,,,No match found,exact,accepted,"Bonifácio & Menot, 2018",1311122,1,0,0,0,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Abyssarya Bonifácio & Menot, 2018. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1311122 on 2023-01-30",Animalia,literature,,,,,yes,,,,
8,morphology and molecular data,yes,yes,,,macrofauna,Annelida,Polychaeta,Phyllodocida,Polynoidae,Abyssarya,,acus,,Abyssarya acus,Abyssarya acus,species,,Bonifacio&Menot_2019,2019,new species,new species,y,,DEPTH LESS THAN 3000M recent description so not in WoRDS,literature; GBIF,,,benthic,WoRMS,,,,sediment,y,,,,,,ok,yes,genbank,,,,No match found,exact,accepted,"Bonifácio & Menot, 2018",1311123,1,0,0,0,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Abyssarya acus Bonifácio & Menot, 2018. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1311123 on 2023-01-30",Animalia,literature,GBIF,,,,,Y,nwarms,,
9,,,,,,megafauna,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,,,Abyssoberyx,Abyssoberyx,genus,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Merrett & Moore, 2005",397696,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Abyssoberyx Merrett & Moore, 2005. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=397696 on 2023-01-30",Animalia,literature,,,,,yes,,,,
10,morphology only (specimens),,,,,macrofauna,Bryozoa,Stenolaemata,Cyclostomatida,Oncousoeciidae,Abyssoecia,,,,Abyssoecia,Abyssoecia,genus,,Grischenko_etal_2018,2018,new genus,new genus,y,,,literature,,,,,,nodule obligate,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Grischenko, Gordon & Melnik, 2018",1299007,1,0,0,0,,,"WoRMS (2023). Abyssoecia Grischenko, Gordon & Melnik, 2018. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1299007 on 2023-01-30",Animalia,literature,,,,,yes,,,,
11,morphology only (specimens),yes,yes,,,macrofauna,Bryozoa,Stenolaemata,Cyclostomatida,Oncousoeciidae,Abyssoecia,,elevata,,Abyssoecia elevata,Abyssoecia elevata,species,,Grischenko_etal_2018,2018,new species,new species,y,,,literature,,,benthic,WoRMS,,nodule obligate,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Grischenko, Gordon & Melnik, 2018",1299008,1,0,0,0,,,"WoRMS (2023). Abyssoecia elevata Grischenko, Gordon & Melnik, 2018. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1299008 on 2023-01-30",Animalia,literature,,,,,yes,,,,
12,,,,,,megafauna,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,,,Abyssopathes,Abyssopathes,genus,,,,,,,,,literature; GBIF; OBIS only,,,,,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Opresko, 2002",267184,1,,,,,,"Molodtsova, T.; Opresko, D. (2023). World List of Antipatharia. Abyssopathes Opresko, 2002. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=267184 on 2023-01-30",Animalia,literature,GBIF,,OBIS only,,,,,,
13,morphology only (specimens),yes,yes,,,megafauna,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,anomala,,Abyssopathes anomala,Abyssopathes anomala,species,,Molodtsova&Opresko_2017,2017,new species,new species,y,yes- in description- also south of CCZ,,literature; GBIF; OBIS only,,,benthic,WoRMS,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Molodtsova & Opresko, 2017",994320,1,0,0,0,,,"Molodtsova, T.; Opresko, D. (2023). World List of Antipatharia. Abyssopathes anomala Molodtsova & Opresko, 2017. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=994320 on 2023-01-30",Animalia,literature,GBIF,,OBIS only,,,Y,,,
14,morphology only (specimens),yes,yes,,,megafauna,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,lyra,,Abyssopathes lyra,Abyssopathes lyra,species,,,,,,,,,GBIF; literature; DD,,,benthic,WoRMS,,,,nodule,,,,,,,,,,,,cf.,matchtype: exact,exact,accepted,"(Brook, 1889)",289303,1,,,0,,,"Molodtsova, T.; Opresko, D. (2023). World List of Antipatharia. Abyssopathes lyra (Brook, 1889). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289303 on 2023-01-30",Animalia,literature,GBIF,DD,,OBIS DD,,,,,
15,morphology only (specimens),no,yes,,all records with qualifiers,megafauna,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,lyriformis,,Abyssopathes lyriformis,Abyssopathes lyriformis,species,,,,,,,,,literature; GBIF; OBIS only,,,benthic,WoRMS,,,,nodule,,,,,,,,,,,cf.,cf.,matchtype: exact,exact,accepted,"Opresko, 2002",289304,1,,,0,,,"Molodtsova, T.; Opresko, D. (2023). World List of Antipatharia. Abyssopathes lyriformis Opresko, 2002. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289304 on 2023-01-30",Animalia,literature,GBIF,,OBIS only,,,,,,
