Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,Pholoinae,AB_ Pholoidae sp 1,sediment,macrofauna
Annelida,Clitellata,,,,,Oligochaeta,AB_ Oligochaeta sp 1,sediment,macrofauna
Annelida,Clitellata,,,,,Oligochaeta,AB_ Oligochaeta sp 2,sediment,macrofauna
Arthropoda,,,,,,Chelicerata,AB_ Chelicerata sp 1    (sea mite),sediment,macrofauna
Mollusca,Aplacophora,,,,,Aplacophora,AB_ Aplacophora sp 1,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 1,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 10,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 11,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 12,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 2,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 3,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 4,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 5,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 6,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 7,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 8,sediment,macrofauna
Mollusca,Bivalvia,,,,,Bivalvia,AB_ Bivalvia sp 9,sediment,macrofauna
Echinodermata,Ophiuroidea,,,,,Ophiuroidea,AB_ Ophuroidea sp 1,sediment,megafauna
Echinodermata,Ophiuroidea,,,,,Ophiuroidea,AB_ Ophuroidea sp 3,sediment,megafauna
Echinodermata,Ophiuroidea,,,,,Ophiuroidea,AB_ Ophuroidea sp 4,sediment,megafauna
Echinodermata,Ophiuroidea,,,,,Ophiuroidea,AB_ Ophuroidea sp 5,sediment,megafauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 1,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 2,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 3,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 4,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,AB_ Acrocirridae sp 5,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae,AB_ Ampharetidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae,AB_ Ampharetidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,,,Ampharetidae,AB_ Ampharetidae sp 3,sediment,macrofauna
Annelida,Polychaeta,,Capitellidae,,,Capitellidae,AB_ Capitellidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Capitellidae,,,Capitellidae,AB_ Capitellidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,Chrysopetalidae,AB_ Chrysopetalidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,Chrysopetalidae,AB_ Chrysopetalidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,Chrysopetalidae,AB_ Chrysopetalidae sp 3,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 5,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,,,Cirratulidae,AB_ Cirratulidae sp 6,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Ctenodrilidae,,,Ctenodrilidae,AB_ Ctenodrilidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Amphinomida,Euphrosinidae,,,Euphrosinidae,AB_ Euphrosinidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Amphinomida,Euphrosinidae,,,Euphrosinidae,AB_ Euphrosinidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Fauveliopsidae,,,Fauveliopsidae,AB_ Fauveliopsidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Flabelligeridae,,,Flabelligeridae,AB_ Flabelligeridae sp 1,sediment,macrofauna
Annelida,Polychaeta,Terebellida,Flabelligeridae,,,Flabelligeridae,AB_ Flabelligeridae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Glyceridae,,,Glyceridae,AB_ Glyceridae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Glyceridae,,,Glyceridae,AB_ Glyceridae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Glyceridae,,,Glyceridae,AB_ Glyceridae sp 3,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Goniadidae,,,Goniadidae,AB_ Goniadidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Goniadidae,,,Goniadidae,AB_ Goniadidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Hesionidae,,,Hesionidae,AB_Hesionidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Hesionidae,,,Hesionidae,AB_Hesionidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Lopadorrhynchidae,,,Lopadorrhynchidae,AB_ Lopadorhynchidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Lopadorrhynchidae,,,Lopadorrhynchidae,AB_ Lopadorrhynchidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 1,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 2,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 3,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp1,sediment,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 1,nodule,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 2,nodule,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 3,nodule,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 4,nodule,macrofauna
Annelida,Polychaeta,Phyllodocida,Nephtyidae,,,Nephtyidae,AB_ Nephtyidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 3,sediment,macrofauna
