rec,INCL,incl_note,paper,REF2/DATASET,basisOfRecord,named_spp,taxonConceptID,scientificName,NAME,COUNT,rec-single,spec_note,typeStatus,TO_DO,qual_level,qual,ABSENSE,taxonRank,tr_w_tcid,Phylum,Class,Order,Family,Genus,Species,AphiaID_accepted,Authority_accepted,size_cat,VESSEL,CRUISE,CONTRACT_AREA,CA_ED,CA_TEST,sub-area,inc_site_analysis,STATION,STN_ED,deployment,STN-DEPLOY,SITE_STRING_V1,fraction,habitat,nodule_pres,region,LAT-START,LONG-START,LAT-END,LONG-END,VERB-LAT-START,VERB-LONG-START,VERB_LAT-END2,VERB-LONG-END,max_depth/start_depth,min_depth/end_depth,depth_qual,DATE,date_to_ed,sampling_method,sampling_method_ED,sampling_dets,QUANTITATIVE,FULLY_PROCESSED,duration,AREA,collector,year,type_loc,sampleID,data_source,taxonRank,CCZ_endemic,identificationQualifier,inc_type_loc_map,note,site_NOTES,orig_row,external_row
1048,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Aceste cf. ovata,Aceste ovata,Aceste cf. ovata,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Aceste,ovata,513092,"A. Agassiz & H.L. Clark, 1907",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.8619,-116.5484,,,13.8619,-116.5484,,,4028,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1047,,imagery,Amon_etal_2017a,,HumanObservation,yes,Aceste ovata,Aceste ovata,Aceste ovata,1,NA,"tissue and DNA voucher stored in 80% non-denatured
ethanol aqueous solution and remainder of animal preserved in 4% formaldehyde",additional material,,,,,species,species,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Aceste,ovata,513092,"A. Agassiz & H.L. Clark, 1907",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Brenke Epibenthic Sled (EB02),,EB02,DEPLY,AB02_EB02,,,,EAST,12.531,-116.6233,,,12.531,116.6233,,,4647,,,2015-02-20,,Brenke Epibenthic Sled,EBS,,,,,,,,,AB02-EB02-CS-18; NHM_1372,,species,,,,,,,
1050,,imagery,Amon_etal_2017a,,PreservedSpecimen,with qual,Amphioplus (Unioplus) daleus,Amphioplus (Unioplus) daleus,Amphioplus (Unioplus) daleus,1,NA,"tissue and DNA voucher stored in 80% non-denatured
ethanol aqueous solution and remainder of animal preserved in 4% formaldehyde",additional material,,,,,,,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus,daleus,1507520,"(Lyman, 1882)",,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Boxcorer 19 (BC19),,BC19,STN,AB02_BC19,,,,EAST,12.5212,-116.6982,,,12.5212,-116.6982,,,4237,,,2015-03-08,,Boxcorer,box core,,,,,,,,,AB02-BC19-CS-30; NHM_1591,,species,,,,,,,
1054,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Bathycrinus cf. equatorialis,Bathycrinus equatorialis,Bathycrinus cf. equatorialis,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Crinoidea,Comatulida,Bathycrinidae,Bathycrinus,equatorialis,723580,"AH Clark, 1908",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 5 (RV05),,Dive 5 (RV05),STN,AB01_Dive 5 (RV05),,,,EAST,13.7605,-116.468,,,13.7605,-116.468,,,4071,,,2013-10-18,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1055,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Bathycrinus cf. equatorialis,Bathycrinus equatorialis,Bathycrinus cf. equatorialis,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Crinoidea,Comatulida,Bathycrinidae,Bathycrinus,equatorialis,723580,"AH Clark, 1908",megafauna,RV Melville Cruise MV1313,AB01,Site EPIRB,APEI-12,APEI-12,Site EPIRB,add station,Dive 7 (RV07),,Dive 7 (RV07),STN,AB01_Dive 7 (RV07),,,,EAST,13.6785,-114.406,,,13.6785,-114.406,,,3909,,,2013-10-23,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1059,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Benthodytes cf. incerta,Benthodytes incerta,Benthodytes cf. incerta,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,incerta,428597,"Ludwig, 1893",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.8628,-116.5485,,,13.8628,-116.5485,,,4032,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1060,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Benthodytes cf. incerta,Benthodytes incerta,Benthodytes cf. incerta,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,incerta,428597,"Ludwig, 1893",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.8624,-116.5484,,,13.8624,-116.5484,,,4030,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1061,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Benthodytes cf. incerta,Benthodytes incerta,Benthodytes cf. incerta,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,incerta,428597,"Ludwig, 1893",megafauna,RV Melville Cruise MV1313,AB01,Site EPIRB,APEI-12,APEI-12,Site EPIRB,add station,Dive 7 (RV07),,Dive 7 (RV07),STN,AB01_Dive 7 (RV07),,,,EAST,13.6785,-114.4064,,,13.6785,-114.4064,,,3909,,,2013-10-23,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1062,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Benthodytes cf. typica,Benthodytes typica,Benthodytes cf. typica,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,typica,124765,"Théel, 1882",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 3 (RV03),,Dive 3 (RV03),STN,AB01_Dive 3 (RV03),,,,EAST,13.96301,-116.5513,,,13.96301,-116.5513,,,4063,,,2013-10-15,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
1063,,imagery,Amon_etal_2017a,,HumanObservation,with qual,Benthodytes cf. typica,Benthodytes typica,Benthodytes cf. typica,1,NA,Imaged only,additional material,,,,,species,species,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,typica,124765,"Théel, 1882",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 3 (RV03),,Dive 3 (RV03),STN,AB01_Dive 3 (RV03),,,,EAST,13.9621,-116.5523,,,13.9621,-116.5523,,,4060,,,2013-10-16,,Remotely Operated Vehicle,ROV,,,,,,,,,,,species,,,,,,,
