rec,layer,inclusion_criteria,inc_notes_mar2022,include,taxon_note,DD_record,date_year,year,ScientificName_accepted,qualif_ed,TR_w_TCID,CCZ_endemic,other_rank,taxonRank_ed,Authority,AphiaID_accepted,occurrenceID,occurrenceID_ed,scientificName,decimalLatitude,originalScientificName,basisOfRecord,minimumDepthInMeters,maximumDepthInMeters,depth,id,class,order,family,decimalLongitude,kingdom,phylum,rightsHolder,institutionID,individualCount,type,catalogNumber,samplingProtocol,eventID,taxonRank,eventTime,taxonomicStatus,verbatimDepth,locationID,accessRights,habitat,recordedBy,identifiedBy,dateIdentified,identificationRemarks,identificationReferences,identificationQualifier,previousIdentifications,taxonRemarks,genus,species,subclass,taxonConceptID,institutionCode,recordNumber,datasetName,associatedSequences
6340,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,0cefd688-4fdf-48ae-b5a9-ab7a731e82c1,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,3,NA,E31240.339403,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
15018,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,1e971d9f-e7d4-4464-a0fe-06110c35303f,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,1,NA,E31199.339356,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
17672,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4907,4907,4907,2413c524-bd09-47b1-9aea-573b9587b659,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31230.339392,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
24004,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4816,4816,4816,30c45ba5-56b4-405d-aaf0-1160c5a6ccc7,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,2,NA,E31183.339339,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
24210,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4941,4941,4941,313bb32f-761d-4316-a0d8-f6bb6ce6ce98,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,1,NA,E31176.339331,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
24354,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,318771c0-61fb-4e8f-9fa4-416973c917f0,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8667,Animalia,Echinodermata,NA,NA,2,NA,E31216.339376,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
25382,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,33b3a583-7575-4e89-900b-3529022b69f5,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,3,NA,E31177.339332,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
34554,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.23,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,467b40dc-488e-48ac-89c2-1f22a3664d9d,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.9167,Animalia,Echinodermata,NA,NA,2,NA,E31198.339355,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
38940,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4862,4862,4862,4f7083f6-0218-4c5e-81c4-5084c1a32dca,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,5,NA,E31238.339400,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
39410,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4877,4877,4877,506076b5-8eac-4aee-b58b-0f6e265c8c94,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,1,NA,E31237.339399,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
39911,NA,not in CCZ shapefile but nearby,,yes,,NA,1980,1980,Amphiophiura convexa,NA,species,,,species,"(Lyman, 1878)",182962,NA,NA,Amphiophiura bullata convexa,13.21667,Amphiophiura convexa,PreservedSpecimen,4846,4846,4846,51654d94-70a7-4c8b-ade1-b4ac56d9f6b1,Ophiuroidea,Ophiurida,Ophiopyrgidae,-129.8833,Animalia,Echinodermata,NA,NA,2,NA,E31239.339401,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Welling,"Pawson, Dave L.",NA,NA,NA,NA,NA,NA,Amphiophiura,Amphiophiura bullata,Myophiuroidea,NA,USNM,NA,NA,NA
