Site,Abundance,Species
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Erebus (cf. Erebus/Prototricoma)
central,0, cf. Leptolaimidae family
central,0, cf. Leptolaimidae family
central,0, cf. Leptolaimidae family
central,0, cf. Linhomoeidae family
central,0, cf. Linhomoeidae family
central,0, cf. Linhomoeidae family
central,0,Acantholaimus cf. Acantholaimus
central,0,Acantholaimus cf. Acantholaimus
central,0,Acantholaimus cf. Acantholaimus
central,0,Acantholaimus cf. Acantholaimus
central,0,Aegialoalaimus cf. Aegialoalaimus
central,0,Aegialoalaimus cf. Aegialoalaimus
central,0,Amphimonhystrella cf. Amphimonhystrella
central,0,Amphimonhystrella cf. Amphimonhystrella
central,0,Amphimonhystrella cf. Amphimonhystrella
central,0,Anguimonhystera cf. Anguimonhystera
central,0,Anguimonhystera cf. Anguimonhystera
central,0,Anguimonhystera cf. Anguimonhystera
central,0,Anguimonhystera cf. Anguimonhystera
central,0,Anoplostoma cf. Anoplostoma
central,0,Anoplostoma cf. Anoplostoma
central,0,Anoplostoma cf. Anoplostoma
central,0,Anoplostoma cf. Anoplostoma
central,0,Ascolaimus cf. Ascolaimus
central,0,Ascolaimus cf. Ascolaimus
central,0,Ascolaimus cf. Ascolaimus
central,0,Ascolaimus cf. Ascolaimus
central,0,Campylaimus cf. Campylaimus
central,0,Campylaimus cf. Campylaimus
central,0,Campylaimus cf. Campylaimus
central,0,Canuelidae sp. 1
central,0,Canuelidae sp. 1
central,0,cf. Xyala (cf. Xyala/Pterygonema)
central,0,cf. Xyala (cf. Xyala/Pterygonema)
central,0,cf. Xyala (cf. Xyala/Pterygonema)
central,0,cf. Xyala (cf. Xyala/Pterygonema)
central,0,cf. Xyalidae family
central,0,cf. Xyalidae family
central,0,cf. Xyalidae family
central,0,Choronema cf. Coronema
central,0,Choronema cf. Coronema
central,0,Choronema cf. Coronema
central,0,Choronema cf. Coronema
central,0,Chromadorita cf. Chromadorita
central,0,Chromadorita cf. Chromadorita
central,0,Cinctonema cf. Cinctonema
central,0,Cinctonema cf. Cinctonema
central,0,Cinctonema cf. Cinctonema
central,0,Cinctonema cf. Cinctonema
central,0,Daptonema cf. Daptonema
central,0,Daptonema cf. Daptonema
central,0,Daptonema cf. Daptonema
central,0,Deontolaimus cf. Deontolaimus
central,0,Deontolaimus cf. Deontolaimus
central,0,Deontolaimus cf. Deontolaimus
central,0,Deontolaimus cf. Deontolaimus
central,0,Diplopeltula cf. Diplopeltula
central,0,Diplopeltula cf. Diplopeltula
central,0,Diplopeltula cf. Diplopeltula
central,0,Diplopeltula cf. Diplopeltula
central,0,Disconema cf. Disconema
central,0,Disconema cf. Disconema
central,0,Disconema cf. Disconema
central,0,Disconema cf. Disconema
central,0,Doliolaimus cf. Doliolaimus
central,0,Doliolaimus cf. Doliolaimus
central,0,Doliolaimus cf. Doliolaimus
central,0,Doliolaimus cf. Doliolaimus
central,0,Elzalia cf. Elzalia
central,0,Enchonema cf. Enchonema
central,0,Enchonema cf. Enchonema
central,0,Enchonema cf. Enchonema
central,0,Filitonchus cf. Filitonchus
