Site,Abundance,Species
UKSRL1 UK-1 UK1-AB01-EB01,1,[unassigned] Seguenzioidea
UKSRL1 UK-1 UK1-A-C,1,[unassigned] Seguenzioidea
UKSRL1 UK-1 UK1-A-EB01,1,[unassigned] Seguenzioidea
AB01_UK-1_BC14,1,Abylidae
SITE_13.72662_-116.67_NA,1,Abylidae
DeepCCZ_APEI4 S TC04,0,Acanthephyridae
DeepCCZ_APEI-4_DC07,0,Acanthephyridae
DeepCCZ_APEI-7_DC01,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS251",0,Acanthephyridae
DeepCCZ_APEI-4_TC04,0,Acanthephyridae
EQPAC_CA02,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS246",0,Acanthephyridae
DeepCCZ_APEI-6_CA13,0,Acanthephyridae
DeepCCZ_APEI-1_TC05,0,Acanthephyridae
DeepCCZ_APEI1 AP TC06,0,Acanthephyridae
DeepCCZ_APEI7 AP DC1,0,Acanthephyridae
DeepCCZ_APEI4 S TC03,0,Acanthephyridae
OMS_CA03,0,Acanthephyridae
DeepCCZ_APEI-1_TC07,0,Acanthephyridae
OMS_CA10,0,Acanthephyridae
DeepCCZ_APEI-1_DC10,0,Acanthephyridae
DeepCCZ_APEI1 AP TC05,0,Acanthephyridae
OMS_CA11,0,Acanthephyridae
DeepCCZ_APEI-1_TC06,0,Acanthephyridae
DeepCCZ_APEI-7_DC02,0,Acanthephyridae
DeepCCZ_APEI1 S TC07,0,Acanthephyridae
DeepCCZ_APEI-1_DC11,0,Acanthephyridae
DeepCCZ_APEI1 AP DC9,0,Acanthephyridae
DeepCCZ_APEI1 AP DC10,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS249",0,Acanthephyridae
DeepCCZ_APEI-4_TC03,0,Acanthephyridae
DeepCCZ_APEI-1_DC09,0,Acanthephyridae
DeepCCZ_APEI4 S DC8,0,Acanthephyridae
DeepCCZ_APEI1 S DC11,0,Acanthephyridae
OMS_CA04,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS244",0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS247",0,Acanthephyridae
EQPAC_CA01,0,Acanthephyridae
OMS_CA12,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS250",0,Acanthephyridae
DeepCCZ_APEI4 AP TC02,0,Acanthephyridae
DeepCCZ_APEI7 AP DC2,0,Acanthephyridae
DeepCCZ_APEI-4_DC06,0,Acanthephyridae
OMS_CA05,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS245",0,Acanthephyridae
DeepCCZ_APEI-4_DC08,0,Acanthephyridae
AB01/AB02_UK-1_CA02,0,Acanthephyridae
AB01/AB02_UK-1_CA08,0,Acanthephyridae
AB01/AB02_UK-1_CA01,0,Acanthephyridae
DeepCCZ_APEI4 S DC7,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS242",0,Acanthephyridae
AB01/AB02_UK-1_CA07,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS243",0,Acanthephyridae
AB01/AB02_UK-1_CA06,0,Acanthephyridae
DeepCCZ_APEI4 AP DC6,0,Acanthephyridae
"Mangan 2018, SO262_BGR_AKS248",0,Acanthephyridae
DeepCCZ_APEI-4_TC02,0,Acanthephyridae
DeepCCZ_APEI4 AP DC5,0,Acanthephyridae
AB01/AB02_UK-1_CA09,0,Acanthephyridae
DeepCCZ_APEI-4_DC05,0,Acanthephyridae
DeepCCZ_APEI-7_DC03,1,Acanthephyridae
DeepCCZ_APEI7 S DC3,1,Acanthephyridae
DeepCCZ_APEI-1_DC12,1,Acanthephyridae
DeepCCZ_APEI7 S DC4,1,Acanthephyridae
DeepCCZ_APEI1 S DC12,1,Acanthephyridae
DeepCCZ_APEI-7_DC04,1,Acanthephyridae
SO239_GSR_,1,Acanthephyridae
AB01_UK-1_EB05,1,Acanthomeniidae
UKSRL1 UK-1 UK1-AB01-EB05,1,Acanthomeniidae
COMRA2 COM1a KW1-S05-L02,4,Acanthonotozomatidae
KOREA KR5_Stn. SD03,0,Acrocirridae
KOREA KR5_Stn. SD08,0,Acrocirridae
GSRNOD15A_B6S02_BC011,0,Acrocirridae
KOREA KR5_Stn. SD13,0,Acrocirridae
GSRNOD15A_B4S03_BC024,0,Acrocirridae
GSRNOD15A_B4S03_BC019,0,Acrocirridae
KOREA KR5_Stn. SD10,0,Acrocirridae
GSRNOD15A_B6S02_BC015,0,Acrocirridae
GSRNOD15A_B6S02_BC013,0,Acrocirridae
KOREA KR5_Stn. SD06,0,Acrocirridae
KOREA KR5_Stn. SD12,0,Acrocirridae
GSRNOD15A_B4N01_BC035,0,Acrocirridae
KOREA KR5_Stn. SD14,0,Acrocirridae
KOREA KR5_Stn. SD09,0,Acrocirridae
GSRNOD15A_B4N01_BC027,0,Acrocirridae
GSRNOD15A_B4N01_BC029,0,Acrocirridae
KOREA KR5_Stn. SD05,0,Acrocirridae
KOREA KR5_Stn. SD04,0,Acrocirridae
KOREA KR5_Stn. SD11,0,Acrocirridae
GSRNOD15A_B4N01_BC026,0,Acrocirridae
GSRNOD15A_B4S03_BC021,0,Acrocirridae
KOREA KR5_Stn. SD07,0,Acrocirridae
GSRNOD15A_B4N01_BC036,0,Acrocirridae
GSRNOD15A_B4N01_BC036,0,Acrocirridae
GSRNOD15A_B4N01_BC026,0,Acrocirridae
GSRNOD15A_B6S02_BC011,0,Acrocirridae
GSRNOD15A_B4S03_BC019,0,Acrocirridae
GSRNOD15A_B6S02_BC015,0,Acrocirridae
GSRNOD15A_B4S03_BC018,0,Acrocirridae
GSRNOD15A_B4S03_BC024,0,Acrocirridae
IOM_Kaplan East (Site E),1,Acrocirridae
BGR1 BGR east #12EBS,1,Acrocirridae
UKSRL1 OA UKSRL1 OMS1_AB02_EB11,1,Acrocirridae
UKSRL1 UK-1 UK1_AB02_EB04,1,Acrocirridae
UKSRL1 UK-1 UK1-AB02-U11,1,Acrocirridae
UKSRL1 OA UKSRL1 OMS-AB02-S01,1,Acrocirridae
OMS OMS S07,1,Acrocirridae
UKSRL1 OA UKSRL1 OMS-AB02-S02,1,Acrocirridae
UKSRL1 OA UKSRL1 OMS-AB02-S10,1,Acrocirridae
UKSRL1 UK-1 UK1-AB02-EB02,1,Acrocirridae
KOREA1 KR5 (B2+B1) 8,1,Acrocirridae
SITE_13.6785_-114.4067_3915,1,Acrocirridae
KOREA KR5_Stn. SD02,1,Acrocirridae
UKSRL1 UK-1 UK1_AB02_EB08,1,Acrocirridae
UKSRL1 OA UKSRL1 OMS-AB02-S01,1,Acrocirridae
OMS OMS S04,1,Acrocirridae
OMS OMS S02,1,Acrocirridae
"Mangan 2010, SO205_IOM_EBS12",1,Acrocirridae
UKSRL1 UK-1 UK1-A-F,1,Acrocirridae
UKSRL1 UK-1 UK1_AB02_EB03,1,Acrocirridae
UKSRL1 UK-1 UK1_AB02_EB07,1,Acrocirridae
OMS OMS S01,1,Acrocirridae
BGR1 BGR east #12EBS,1,Acrocirridae
