rec,SPECIES,size_cat,region,INCL-ALL-SPP,INCL-ALL-TAXA,incl_notes-all-taxa,incl_notes-all-spp,acceptedScientificName_ed,CCZ_endemic,other_rank,taxonRank_ed,TR_w_TCID,layer,inclusion_criteria,incl_notes_march22,include,m_taxon_note,gbifID,rightsHolder,institutionID,institutionCode,datasetID,datasetName,basisOfRecord,occurrenceID,catalogNumber,qual_ed,identificationQualifier,recordNumber,recordedBy,individualCount,associatedSequences,previousIdentifications,eventID,eventDate,eventTime,year,habitat,samplingProtocol,locality,verbatimDepth,decimalLongitude,decimalLatitude,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonConceptID_orig,taxonConceptID,scientificName,kingdom,phylum,class,order,family,genus,species,taxonRank,taxonomicStatus,depth,depthAccuracy,verbatimScientificName,acceptedScientificName,associatedReferences
97386,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Eurytium limosum,,,species,species,06_apei,,,yes,,2571434859,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/38bc42f6a-b055-495d-b312-e50b2c03cf19,24336,,,,United States Fish Commission,2,,NA,,1899-09-02T00:00:00,,1899,,,Between San Diego and Marquesas Islands,,-136.233,16.6333,,"Rathbun, Mary Jane, Smithsonian Institution",,,,,,"Eurytium limosum (Say, 1818)",Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Eurytium,Eurytium limosum,SPECIES,ACCEPTED,5647,0,Eurytium limosum,"Eurytium limosum (Say, 1818)",
44170,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Leptognathiella clivicola,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1836728084,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3ab673f95-b5bf-4820-9905-cc3af1d83e04,1471775,,,,D. Trueblood,1,,NA,,1994-07-01T00:00:00,,1994,,,"Clarion-Clipperton Fracture Zone, abyssal plain",,-128.591,12.9171,,,,,,,,"Leptognathiella clivicola Bird & Holdich, 1984",Animalia,Arthropoda,Malacostraca,Tanaidacea,Colletteidae,Leptognathiella,Leptognathiella clivicola,SPECIES,ACCEPTED,4879,0,Leptognathiella clivicola,"Leptognathiella clivicola Bird & Holdich, 1984",
2887,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Macrinella clavipes,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1836727747,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3a7347b4a-7521-4c74-929f-7221d006ba5c,1471777,,,,D. Trueblood,2,,NA,,1994-07-01T00:00:00,,1994,,,"Clarion-Clipperton Fracture Zone, abyssal plain",,-128.599,12.9341,,,,,,,,"Macrinella clavipes (Hansen, 1913)",Animalia,Arthropoda,Malacostraca,Tanaidacea,Colletteidae,Macrinella,Macrinella clavipes,SPECIES,ACCEPTED,4879,0,Macrinella clavipes,"Macrinella clavipes (Hansen, 1913)",
4302,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1319429738,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/36287a2d1-6976-41d8-9182-544c56c8e091,1188876,,,,C. Welling,1,,NA,,1980-04-22T00:00:00,,1980,,,,,-129.917,13.23,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4877,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
6563,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1318460022,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3379ee632-3c52-4ced-9ba5-10722f22a668,1188877,,,,C. Welling,1,,NA,,1980-04-12T00:00:00,,1980,,,,,-129.917,13.23,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4816,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
25518,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1317726625,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3172d1d73-258e-4497-a66e-518710ccf865,1188878,,,,C. Welling,1,,NA,,1980-02-08T00:00:00,,1980,,,,,-129.883,13.2167,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4846,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
26479,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1322635462,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3f0585a2d-c514-470c-92d4-1d20f7ce7153,1188875,,,,C. Welling,1,,NA,,1980-02-18T00:00:00,,1980,,,,,-129.883,13.2167,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4801,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
26522,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1318527373,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/33a97ec5d-5793-4835-b05a-dac4b653a5e1,1188881,,,,C. Welling,1,,NA,,1980-02-16T00:00:00,,1980,,,,,-129.883,13.2167,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4877,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
28098,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1318693491,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/341f18337-b661-4cc5-9be8-6d22834a2919,1188880,,,,C. Welling,2,,NA,,1979-03-22T00:00:00,,1979,,,,,-129.85,13.2286,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4878,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
42241,,macrofauna,central,y,y,check- duplicate?,check- duplicate?,Munidopsis verrucosus,,,species,species,NA,"while out CCZ shpfile, nearby- valid",,yes,,1317846685,,http://biocol.org/urn:lsid:biocol.org:col:34871,USNM,,NMNH Extant Specimen Records,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/31c7d8a7d-dced-4e42-9a86-3687330eb965,1188879,,,,C. Welling,1,,NA,,1979-06-13T00:00:00,,1979,,,,,-129.87,13.1875,,"Poore, Gary C.B., Museum Victoria (AUSTRALIA)",,,,,,"Munidopsis verrucosus Khodkina, 1973",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,Munidopsis verrucosus,SPECIES,ACCEPTED,4878,0,Munidopsis verrucosus,"Munidopsis verrucosus Khodkina, 1973",
