"","Sites","Richness","sd"
"1",1,10.443,33.5783599548468
"2",2,20.758,48.0719080580784
"3",3,30.385,52.7098387599706
"4",4,42.345,68.9764287472374
"5",5,49.883,70.2336962083236
"6",6,60.137,82.5190136793856
"7",7,68.586,84.910637851923
"8",8,78.019,87.5944600327465
"9",9,87.202,89.7285038346255
"10",10,96.845,92.5505082188724
"11",11,106.225,97.8416443155079
"12",12,114.23,99.3899162664677
"13",13,124.041,108.036406753391
"14",14,133.455,113.937472864386
"15",15,143.003,119.044708549493
"16",16,152.663,120.092637878734
"17",17,161.49,121.464816311562
"18",18,170.227,121.759791876949
"19",19,177.77,121.919019629209
"20",20,185.645,122.28400694021
"21",21,195.253,125.038320416473
"22",22,203.114,125.793405967821
"23",23,211.065,126.77900335107
"24",24,218.81,127.660624842334
"25",25,227.129,128.91533470663
"26",26,235.575,130.304319155547
"27",27,243.217,131.096346871921
"28",28,252.528,139.039876666024
"29",29,260.945,139.871669965934
"30",30,268.1,140.435993492652
"31",31,277.101,145.230460598614
"32",32,284.874,144.823900258507
"33",33,291.831,145.130980291737
"34",34,300.435,147.890071499909
"35",35,308.373,150.560334368934
"36",36,316.333,151.430417295477
"37",37,322.91,151.889539904275
"38",38,329.619,152.340551011484
"39",39,340.345,158.930320649717
"40",40,348.152,160.446932392346
"41",41,355.103,161.327675896016
"42",42,362.188,161.108257164326
"43",43,371.424,166.507570383436
"44",44,379.947,168.910381291109
"45",45,389.047,174.332086740988
"46",46,397.549,177.394279302714
"47",47,403.941,177.67138385131
"48",48,411.774,180.491651220105
"49",49,418.832,182.785985492577
"50",50,426.718,184.865561291853
"51",51,435.866,187.990266727787
"52",52,443.11,190.415061893212
"53",53,450.948,190.448812141336
"54",54,458.986,192.801956417455
"55",55,467.014,193.6284115665
"56",56,474.419,193.445130353435
"57",57,481.082,195.42843587756
"58",58,488.268,197.009992419453
"59",59,495.416,198.963658695455
"60",60,503.206,200.760913796756
"61",61,510.104,201.281040441571
"62",62,518.603,205.378040526563
"63",63,526.271,206.548226157304
"64",64,533.288,206.338145980055
"65",65,539.834,207.767219892026
"66",66,548.519,210.344085424985
"67",67,556.369,210.340438192324
"68",68,564.267,211.72069658955
"69",69,570.731,211.907766588534
"70",70,576.973,212.064569536386
"71",71,584.961,213.822448584143
"72",72,591.382,214.667431582395
"73",73,598.723,216.424596284426
"74",74,605.176,217.075324992779
"75",75,610.902,216.579068445889
"76",76,617.946,217.124093448783
"77",77,624.283,217.935097259752
"78",78,630.835,220.410159505893
"79",79,640.463,226.098295150738
"80",80,646.794,226.335276130835
"81",81,653.852,225.598175153596
"82",82,661.215,227.749389811608
"83",83,667.874,228.558708447539
"84",84,674.989,229.495544802256
"85",85,681.486,229.55104767238
"86",86,687.476,229.625031473224
"87",87,693.949,231.1704180062
"88",88,701.224,234.68567743088
"89",89,707.881,236.396696756188
"90",90,715.114,236.621090658767
"91",91,722,238.087411711782
"92",92,728.373,239.370654385999
"93",93,735.154,239.924079341461
"94",94,741.168,239.519279518917
"95",95,746.605,239.738477330012
"96",96,752.848,239.835268156816
"97",97,759.443,241.964182093996
"98",98,765.257,241.905053700839
"99",99,771.638,242.008241481452
"100",100,777.746,243.160038427963
"101",101,783.796,243.994581373726
"102",102,790.554,245.146286502133
"103",103,797.856,249.348266129568
"104",104,803.636,249.722154921542
"105",105,809.247,249.536459130596
"106",106,815.56,251.922804643604
"107",107,821.348,252.302460208828
"108",108,828.408,252.065532289856
"109",109,834.385,253.488811098937
"110",110,840.09,253.346743560032
"111",111,846.513,255.164944653414
"112",112,852.953,255.40763859535
"113",113,859.652,256.364649922195
"114",114,866.741,257.017621919154
"115",115,872.563,258.402615975425
"116",116,878.056,258.110937622024
"117",117,883.209,258.017538879374
"118",118,888.916,258.777956895434
"119",119,894.495,258.121154703572
"120",120,900.76,257.438756043283
"121",121,907.371,258.278522440706
"122",122,913.312,258.790106022187
"123",123,919.206,258.212841344956
"124",124,924.82,258.475153554466
"125",125,930.61,257.890619200217
"126",126,937.198,257.583606058519
"127",127,942.622,257.02200183141
"128",128,948.113,256.521011342658
"129",129,952.951,255.707244312307
"130",130,958.188,255.400638492041
"131",131,964.136,255.688376837998
"132",132,968.766,255.642223019184
"133",133,974.36,256.023679616797
"134",134,979.341,256.585663905687
"135",135,985.394,257.772639156093
"136",136,992.167,261.234079620855
"137",137,997.706,261.732691052466
"138",138,1003.492,263.069103638738
"139",139,1009.678,265.118928713818
"140",140,1016.861,266.611844362839
"141",141,1021.983,266.195602536574
"142",142,1026.554,266.584989526118
"143",143,1032.071,267.41202880976
"144",144,1037.198,267.67350990321
"145",145,1042.58,267.898199032851
"146",146,1048.779,269.611298745827
"147",147,1053.995,268.870337213374
"148",148,1059.313,269.366176733769
"149",149,1066.158,271.803613368624
"150",150,1073.345,272.103940672548
"151",151,1077.731,272.249316490105
"152",152,1083.172,272.152025789155
"153",153,1088.837,272.925507719165
"154",154,1094.49,274.321213230089
"155",155,1100.084,273.798785093577
"156",156,1106.6,275.875757241251
"157",157,1113.289,278.413109135217
"158",158,1118.308,277.763384256517
"159",159,1125.182,278.248236215357
"160",160,1130.266,279.412864401038
"161",161,1136.848,280.40127633763
"162",162,1142.023,280.731862904534
"163",163,1146.807,280.69072131446
"164",164,1152.217,281.342911310637
"165",165,1157.743,282.430635758614
"166",166,1162.825,283.589586248206
"167",167,1168.129,283.02174415876
"168",168,1173.884,283.54668622163
"169",169,1180.256,285.13217078895
"170",170,1185.787,285.071038739694
"171",171,1190.178,285.12746972186
"172",172,1196.696,286.229615827882
"173",173,1202.92,286.609739441532
"174",174,1208.785,288.495036631761
"175",175,1213.842,289.934977757647
"176",176,1218.429,290.430550844542
"177",177,1224.078,290.173593958221
"178",178,1228.292,289.919444018541
"179",179,1232.9,290.168864577111
"180",180,1237.048,290.078374166636
"181",181,1241.669,289.631043882697
"182",182,1247.151,289.780283683711
"183",183,1253.685,291.191604146351
"184",184,1258.081,291.474262473867
"185",185,1263.216,290.222067031768
"186",186,1267.594,289.821416768357
"187",187,1272.771,289.574854148552
"188",188,1278.896,290.018174819658
"189",189,1284.215,289.956955099909
"190",190,1288.721,289.518562716032
"191",191,1293.512,289.027325093408
"192",192,1298.852,289.605119466527
"193",193,1303.512,290.853267953928
"194",194,1309.298,291.866354972897
"195",195,1313.493,291.86896622362
"196",196,1318.568,293.701443499881
"197",197,1322.871,294.206556447773
"198",198,1328.252,295.202138879106
"199",199,1333.398,296.678546166985
"200",200,1339.278,297.921365222194
"201",201,1343.919,297.498254869925
"202",202,1349.226,299.352158232806
"203",203,1353.654,299.438360294094
"204",204,1359.025,300.251216763843
"205",205,1365.302,302.227321978259
"206",206,1371.901,302.881479112522
"207",207,1376.044,303.310852983433
"208",208,1380.963,304.95532358098
"209",209,1385.548,305.214136902872
"210",210,1391.323,305.464189459324
"211",211,1396.351,306.62461814971
"212",212,1400.934,306.067958530845
"213",213,1405.408,305.479736489027
"214",214,1411.541,306.10004501234
"215",215,1415.958,306.155534732671
"216",216,1419.757,305.471954630971
"217",217,1423.811,304.980390053717
"218",218,1428.646,304.863104025719
"219",219,1433.468,304.666228004494
"220",220,1437.978,304.192101065018
"221",221,1442.952,305.170340355403
"222",222,1447.852,306.042536471861
"223",223,1452.525,305.135617586869
"224",224,1458.268,306.108190678395
"225",225,1461.856,306.177804734622
"226",226,1467.619,306.890050901528
"227",227,1472.842,306.946368457275
"228",228,1476.507,306.604099817705
"229",229,1481.358,305.844890316861
"230",230,1486.072,305.861678185062
"231",231,1490.657,305.651298160284
"232",232,1494.941,305.322841524437
"233",233,1498.948,304.935434010078
"234",234,1504.987,306.630254449792
"235",235,1509.514,306.860103185355
"236",236,1512.997,306.560928028334
"237",237,1516.977,306.120466828357
"238",238,1521.243,305.254477849625
"239",239,1525.213,305.111157530251
"240",240,1531.235,306.66475677529
"241",241,1538.265,308.841314808645
"242",242,1542.573,308.528158026614
"243",243,1546.631,308.471634982195
"244",244,1550.683,307.991950467139
"245",245,1555.116,308.360397390259
"246",246,1560.673,309.155704007415
"247",247,1564.8,308.907526389144
"248",248,1568.685,308.907101524669
"249",249,1573.602,309.251732784523
"250",250,1578.596,310.342103178098
"251",251,1582.848,310.644247886139
"252",252,1588.063,311.649974711595
"253",253,1592.084,311.288270468599
"254",254,1596.097,310.809430508621
"255",255,1600.693,310.164376890209
"256",256,1604.405,310.026049108984
"257",257,1609.977,311.690897664155
"258",258,1613.681,311.239835937617
"259",259,1617.291,310.518040977932
"260",260,1621.786,310.36316711153
"261",261,1625.872,310.081863994621
"262",262,1631.875,312.861745579172
"263",263,1636.417,313.980373249326
"264",264,1640.508,313.947369612945
"265",265,1644.462,313.557884772657
"266",266,1649.295,314.796847236484
"267",267,1654.187,314.188848725832
"268",268,1657.782,314.552211198029
"269",269,1662.816,314.927432008441
"270",270,1667.759,315.068432306437
"271",271,1671.904,315.752051683187
"272",272,1675.56,316.153233839648
"273",273,1679.086,316.363307522137
"274",274,1683.831,317.815271794774
